isla,fecha,numero_casos,ia_7dias,ia_14dias,pcr_total,pcr_positivos,pcr_porcentaje_positivos,pcr_porcentaje_positivos_7dias,Urg_ingr,Urg_cv,HPT_cv19,HPT_nocv19,CCR_cv19,CCR_nocv19,CSR_cv19,CSR_nocv19,tmed,prec,tmin,tmax,dir,velmedia,racha,sol,presMax,presMin,hrMedia,hrMax,hrMin
LANZAROTE,2021-01-01,14,48.13493184093652,77.6576900367109,212,16,7.547169811320755,3.298153034300792,20,0,1,112,1,3,0,0,17.9,0.0,14.5,21.3,35.0,6.1,14.4,2.8,1020.2,1017.5,59.0,74.0,43.0
FUERTEVENTURA,2021-01-01,1,25.89115691711489,49.27671800354124,31,1,3.225806451612903,4.934823091247672,9,0,1,76,1,3,0,0,18.2,0.0,15.9,20.6,1.0,7.8,13.9,2.7,1018.8,1016.2,58.0,71.0,48.0
EL HIERRO,2021-01-01,0,80.73921234412846,107.65228312550462,1,0,0.0,4.529616724738676,0,0,2,9,0,0,0,0,19.6,0.0,18.5,20.8,99.0,5.3,11.4,2.5,1019.8,1016.5,59.0,73.0,49.0
LA GOMERA,2021-01-01,0,46.12971676353907,156.84103699603284,7,1,14.285714285714286,12.459016393442624,0,0,1,11,0,0,0,0,17.4,0.0,15.3,19.4,31.0,2.2,12.5,2.5,996.9,993.8,58.0,69.0,50.0
GRAN CANARIA,2021-01-01,62,49.09289193368719,83.57480412520557,1017,78,7.669616519174041,5.668175555992915,90,4,57,1482,16,76,0,2,17.6,0.1,15.0,20.3,99.0,8.3,13.3,1.9,1017.4,1014.9,60.0,89.0,46.0
LA PALMA,2021-01-01,0,32.35160200340291,56.31575163555321,18,0,0.0,4.18168709444845,6,0,0,98,0,5,0,0,17.6,0.2,15.6,19.5,26.0,3.9,9.7,0.1,1018.4,1015.7,71.0,83.0,57.0
TENERIFE,2021-01-01,67,99.5042020064527,202.77750257375587,846,97,11.465721040189123,9.683641975308642,86,8,160,1338,34,47,0,12,18.1,0.05,16.2,20.0,6.0,2.2,7.5,1.5,1019.1,1016.2,59.0,76.0,47.0
LA PALMA,2021-01-02,3,32.35160200340291,56.31575163555321,176,16,9.090909090909092,3.823953823953824,14,0,0,98,0,5,0,0,16.9,0.0,15.3,18.5,30.0,3.3,10.3,0.1,1015.9,1011.8,69.0,77.0,64.0
TENERIFE,2021-01-02,83,94.98128373343212,192.8701577852346,909,100,11.001100110011,9.639510878195969,97,10,165,1371,34,46,0,13,17.8,0.0,15.8,19.8,8.0,3.1,7.2,2.7,1016.9,1013.0,65.0,76.0,50.0
LA GOMERA,2021-01-02,1,46.12971676353907,133.7761786142633,17,1,5.882352941176471,13.087248322147651,3,0,1,13,0,0,0,0,16.7,0.0,14.4,19.0,12.0,2.2,6.1,1.6,994.7,990.8,66.0,78.0,58.0
LANZAROTE,2021-01-02,32,51.34392729699895,84.71748004004826,311,44,14.14790996784566,3.31509494689411,17,0,1,120,1,3,0,0,17.6,0.0,14.2,20.9,2.0,5.3,10.8,2.3,1018.2,1014.9,57.0,80.0,44.0
GRAN CANARIA,2021-01-02,63,51.43064869243421,86.02944872188993,895,69,7.709497206703911,5.911137208847133,86,4,60,1466,17,75,0,2,17.4,0.0,15.0,19.7,99.0,5.3,9.2,2.4,1015.4,1011.7,63.0,88.0,48.0
FUERTEVENTURA,2021-01-02,4,25.055958306885376,47.60632078308222,65,5,7.692307692307693,4.887585532746823,14,0,2,84,0,3,0,0,18.0,0.0,15.6,20.4,2.0,6.4,11.4,2.0,1016.9,1013.6,59.0,72.0,46.0
EL HIERRO,2021-01-02,0,80.73921234412846,107.65228312550462,39,0,0.0,4.529616724738676,0,0,2,8,0,0,0,0,18.5,0.1,16.9,20.1,5.0,3.1,11.4,1.9,1016.8,1013.2,69.0,81.0,59.0
TENERIFE,2021-01-03,49,95.6274149152922,180.05522267834297,887,65,7.328072153325818,9.981791094189704,106,5,165,1447,34,45,0,14,18.2,0.05,16.6,19.8,10.0,1.1,6.1,0.3,1014.8,1010.9,66.0,76.0,62.0
LA PALMA,2021-01-03,3,33.54980948501042,59.91037408037576,113,5,4.424778761061947,5.34412955465587,15,0,0,121,0,8,0,0,17.9,4.5,16.0,19.8,19.0,3.1,12.8,0.2,1013.1,1008.5,71.0,90.0,63.0
LANZAROTE,2021-01-03,20,69.31430185094858,103.3296536852104,286,25,8.741258741258742,4.850746268656716,16,1,2,133,1,5,0,1,16.8,0.0,14.1,19.5,99.0,3.9,8.3,1.3,1016.6,1013.4,61.0,74.0,48.0
EL HIERRO,2021-01-03,1,71.7681887503364,107.65228312550462,8,1,12.5,3.833865814696486,8,5,7,11,0,0,0,0,19.0,0.7,17.1,20.9,19.0,4.2,12.8,1.4,1014.6,1010.3,66.0,80.0,59.0
GRAN CANARIA,2021-01-03,83,54.23595680293061,89.30230818413575,1274,99,7.770800627943485,6.118185435734183,102,4,62,1528,17,74,0,2,17.6,0.0,15.9,19.3,3.0,2.8,6.7,0.3,1013.8,1009.9,63.0,70.0,56.0
FUERTEVENTURA,2021-01-03,12,26.726355527344403,44.265526342164165,106,12,11.320754716981131,5.179282868525896,11,0,2,93,0,3,0,0,18.1,0.0,16.1,20.1,99.0,4.7,9.7,2.8,1015.3,1012.0,61.0,70.0,49.0
LA GOMERA,2021-01-03,0,46.12971676353907,129.1632069379094,10,0,0.0,11.11111111111111,2,0,1,15,0,0,0,0,16.6,0.3,15.2,18.1,17.0,1.7,6.1,0.3,992.4,989.0,75.0,84.0,68.0
EL HIERRO,2021-01-04,13,80.73921234412846,107.65228312550462,39,16,41.02564102564103,4.088050314465409,1,0,5,12,0,0,0,0,21.3,0.5,18.3,24.3,17.0,8.6,17.5,0.0,1011.3,1005.7,79.0,87.0,44.0
LANZAROTE,2021-01-04,21,77.01589094549843,111.03124277976022,455,27,5.934065934065934,5.86283185840708,26,0,1,133,1,5,0,2,16.0,0.0,12.9,19.0,19.0,4.4,9.2,1.0,1014.4,1009.4,70.0,82.0,56.0
TENERIFE,2021-01-04,116,91.96600488475174,176.50150117811253,2464,166,6.737012987012987,9.850873455475076,140,8,158,1458,34,52,0,11,18.2,0.05,16.6,19.7,20.0,2.2,11.7,0.0,1011.4,1006.2,80.0,86.0,72.0
