fecha,isla,numero_casos,pcr_total,Urg_cv,HPT_cv19,CCR_cv19,tmin,tmed,presMax
2021-01-01,LANZAROTE,14,212,0,1,1,14.5,17.9,1020.2
2021-01-01,FUERTEVENTURA,1,31,0,1,1,15.9,18.2,1018.8
2021-01-01,EL HIERRO,0,1,0,2,0,18.5,19.6,1019.8
2021-01-01,LA GOMERA,0,7,0,1,0,15.3,17.4,996.9
2021-01-01,GRAN CANARIA,62,1017,4,57,16,15.0,17.6,1017.4
2021-01-01,LA PALMA,0,18,0,0,0,15.6,17.6,1018.4
2021-01-01,TENERIFE,67,846,8,160,34,16.2,18.1,1019.1
2021-01-02,LA PALMA,3,176,0,0,0,15.3,16.9,1015.9
2021-01-02,TENERIFE,83,909,10,165,34,15.8,17.8,1016.9
2021-01-02,LA GOMERA,1,17,0,1,0,14.4,16.7,994.7
2021-01-02,LANZAROTE,32,311,0,1,1,14.2,17.6,1018.2
2021-01-02,GRAN CANARIA,63,895,4,60,17,15.0,17.4,1015.4
2021-01-02,FUERTEVENTURA,4,65,0,2,0,15.6,18.0,1016.9
2021-01-02,EL HIERRO,0,39,0,2,0,16.9,18.5,1016.8
2021-01-03,TENERIFE,49,887,5,165,34,16.6,18.2,1014.8
2021-01-03,LA PALMA,3,113,0,0,0,16.0,17.9,1013.1
2021-01-03,LANZAROTE,20,286,1,2,1,14.1,16.8,1016.6
2021-01-03,EL HIERRO,1,8,5,7,0,17.1,19.0,1014.6
2021-01-03,GRAN CANARIA,83,1274,4,62,17,15.9,17.6,1013.8
2021-01-03,FUERTEVENTURA,12,106,0,2,0,16.1,18.1,1015.3
2021-01-03,LA GOMERA,0,10,0,1,0,15.2,16.6,992.4
2021-01-04,EL HIERRO,13,39,0,5,0,18.3,21.3,1011.3
2021-01-04,LANZAROTE,21,455,0,1,1,12.9,16.0,1014.4
2021-01-04,TENERIFE,116,2464,8,158,34,16.6,18.2,1011.4
2021-01-04,GRAN CANARIA,72,1171,6,65,17,16.1,17.8,1011.5
2021-01-04,LA PALMA,1,304,0,0,0,17.7,20.8,1009.6
2021-01-04,FUERTEVENTURA,5,327,1,3,0,14.3,16.7,1013.2
2021-01-04,LA GOMERA,4,47,0,1,0,17.0,18.0,990.1
2021-01-05,TENERIFE,99,2117,15,152,33,18.1,20.9,1008.0
2021-01-05,LANZAROTE,21,533,1,2,2,15.9,20.2,1009.6
2021-01-05,LA GOMERA,0,64,0,1,0,17.6,19.4,987.0
2021-01-05,GRAN CANARIA,99,1709,9,69,16,15.8,20.2,1007.0
2021-01-05,EL HIERRO,1,20,0,3,0,18.1,21.2,1009.5
2021-01-05,LA PALMA,4,217,0,0,0,18.2,20.9,1006.7
2021-01-05,FUERTEVENTURA,26,326,0,2,0,16.2,20.8,1008.8
2021-01-06,LA GOMERA,0,6,0,1,0,18.4,19.7,985.0
2021-01-06,FUERTEVENTURA,16,151,0,2,0,19.3,21.6,1006.7
2021-01-06,LA PALMA,0,24,0,0,0,18.6,21.4,1003.2
2021-01-06,TENERIFE,106,1402,12,157,33,18.3,21.2,1005.3
2021-01-06,EL HIERRO,0,5,0,3,0,18.9,21.7,1006.2
2021-01-06,GRAN CANARIA,79,1164,7,72,16,19.1,21.8,1004.4
2021-01-06,LANZAROTE,48,434,0,1,2,15.7,19.6,1007.9
2021-01-07,LA PALMA,2,150,0,0,0,17.3,20.2,1000.1
2021-01-07,LA GOMERA,0,46,0,1,0,17.8,19.4,982.2
2021-01-07,TENERIFE,90,2065,13,153,34,18.1,21.8,1002.3
2021-01-07,EL HIERRO,1,75,0,2,0,18.4,22.4,1003.5
2021-01-07,LANZAROTE,61,408,1,3,2,16.5,19.4,1005.4
2021-01-07,FUERTEVENTURA,15,126,2,4,0,19.2,21.9,1004.3
2021-01-07,GRAN CANARIA,75,1163,13,81,16,18.7,21.6,1001.9
2021-01-08,LA GOMERA,3,179,0,1,0,13.7,16.5,991.8
2021-01-08,FUERTEVENTURA,29,285,1,2,0,16.0,18.6,1012.2
