fecha,indicativo,nombre,provincia,altitud,tmed,prec,tmin,horatmin,tmax,horatmax,dir,velmedia,racha,horaracha,sol,presMax,horaPresMax,presMin,horaPresMin,hrMedia,hrMax,horaHrMax,hrMin,horaHrMin
2021-01-01,C449C,STA.CRUZ DE TENERIFE,STA. CRUZ DE TENERIFE,36,"18,1",Ip,"16,2",23:40,"20,0",12:30,06,"2,2","7,5",12:40,"1,5","1019,1",10,"1016,2",18,59,76,23:20,47,11:20
2021-01-02,C449C,STA.CRUZ DE TENERIFE,STA. CRUZ DE TENERIFE,36,"17,8","0,0","15,8",07:00,"19,8",12:40,08,"3,1","7,2",15:30,"2,7","1016,9",11,"1013,0",19,65,76,00:50,50,13:20
2021-01-03,C449C,STA.CRUZ DE TENERIFE,STA. CRUZ DE TENERIFE,36,"18,2",Ip,"16,6",23:40,"19,8",14:50,10,"1,1","6,1",01:20,"0,3","1014,8",10,"1010,9",Varias,66,76,23:59,62,05:40
2021-01-04,C449C,STA.CRUZ DE TENERIFE,STA. CRUZ DE TENERIFE,36,"18,2",Ip,"16,6",00:00,"19,7",17:40,20,"2,2","11,7",15:50,"0,0","1011,4",01,"1006,2",18,80,86,23:59,72,Varias
2021-01-05,C449C,STA.CRUZ DE TENERIFE,STA. CRUZ DE TENERIFE,36,"20,9","0,0","18,1",01:20,"23,7",13:40,29,"2,5","10,8",05:10,"7,7","1008,0",10,"1004,6",17,68,88,00:50,59,13:40
2021-01-06,C449C,STA.CRUZ DE TENERIFE,STA. CRUZ DE TENERIFE,36,"21,2",Ip,"18,3",03:30,"24,1",14:00,,,,,,"1005,3",00,"1000,1",14,79,82,08:40,56,13:50
2021-01-07,C449C,STA.CRUZ DE TENERIFE,STA. CRUZ DE TENERIFE,36,"21,8","5,6","18,1",04:00,"25,4",14:50,,,,,"5,8","1002,3",00,"998,4",24,71,86,04:50,56,14:40
2021-01-08,C449C,STA.CRUZ DE TENERIFE,STA. CRUZ DE TENERIFE,36,"17,6","43,9","14,4",20:00,"20,8",00:10,33,"5,0","15,0",05:50,"1,3","1012,7",Varias,"998,0",00,72,84,03:00,60,02:00
2021-01-09,C449C,STA.CRUZ DE TENERIFE,STA. CRUZ DE TENERIFE,36,"15,8","8,9","13,2",04:20,"18,3",14:10,34,"6,1","15,8",17:10,"6,1","1018,9",23,"1012,4",01,58,82,04:10,50,16:00
2021-01-10,C449C,STA.CRUZ DE TENERIFE,STA. CRUZ DE TENERIFE,36,"17,4","4,7","14,5",02:30,"20,4",14:40,32,"4,2","13,9",13:00,"7,4","1020,7",11,"1017,6",06,63,77,06:20,44,14:00
2021-01-11,C449C,STA.CRUZ DE TENERIFE,STA. CRUZ DE TENERIFE,36,"16,6","2,8","14,3",23:59,"19,0",12:40,36,"3,3","10,6",11:40,"4,3","1021,4",24,"1018,5",15,57,83,22:10,42,12:30
2021-01-12,C449C,STA.CRUZ DE TENERIFE,STA. CRUZ DE TENERIFE,36,"17,2","4,2","14,0",00:40,"20,3",13:40,34,"2,5","8,6",04:00,"5,0","1022,6",24,"1019,4",05,65,84,00:30,49,13:00
2021-01-13,C449C,STA.CRUZ DE TENERIFE,STA. CRUZ DE TENERIFE,36,"17,2",Ip,"14,2",05:20,"20,2",14:50,04,"2,5","8,6",17:10,"5,0","1025,1",23,"1021,8",05,64,92,05:30,49,15:50
2021-01-14,C449C,STA.CRUZ DE TENERIFE,STA. CRUZ DE TENERIFE,36,"17,2","0,0","14,6",01:10,"19,9",16:40,08,"2,5","8,1",15:00,"1,5","1025,8",12,"1022,8",16,64,72,06:40,51,16:10
2021-01-15,C449C,STA.CRUZ DE TENERIFE,STA. CRUZ DE TENERIFE,36,"17,9","0,0","16,4",00:00,"19,4",15:20,06,"2,2","10,3",00:20,"0,2","1024,9",11,"1021,5",16,58,69,00:20,47,15:10
2021-01-16,C449C,STA.CRUZ DE TENERIFE,STA. CRUZ DE TENERIFE,36,"19,0","0,0","16,8",03:40,"21,2",13:40,09,"3,1","10,3",14:10,"6,2","1023,1",11,"1020,1",16,59,65,06:50,51,16:00
2021-01-17,C449C,STA.CRUZ DE TENERIFE,STA. CRUZ DE TENERIFE,36,"18,0","0,0","15,3",Varias,"20,6",14:10,06,"2,5","7,5",09:50,"6,2","1023,0",11,"1020,6",05,58,73,23:59,52,12:30
2021-01-18,C449C,STA.CRUZ DE TENERIFE,STA. CRUZ DE TENERIFE,36,"17,2","0,0","14,0",07:10,"20,5",15:50,10,"3,1","6,4",11:40,"9,1","1022,8",23,"1020,4",16,66,75,Varias,57,13:40
2021-01-19,C449C,STA.CRUZ DE TENERIFE,STA. CRUZ DE TENERIFE,36,"17,4","0,0","14,1",04:50,"20,8",14:00,27,"2,5","5,3",Varias,"8,3","1022,4",00,"1019,2",18,69,78,Varias,56,14:00
2021-01-20,C449C,STA.CRUZ DE TENERIFE,STA. CRUZ DE TENERIFE,36,"17,9","0,0","14,4",06:40,"21,4",15:20,27,"2,2","7,2",13:00,"7,5","1020,2",12,"1018,3",Varias,67,81,23:50,56,13:10
2021-01-21,C449C,STA.CRUZ DE TENERIFE,STA. CRUZ DE TENERIFE,36,"19,2","0,0","15,3",08:00,"23,0",15:00,34,"1,9","7,8",23:00,"10,0","1022,1",23,"1019,2",Varias,72,85,05:10,61,13:00
2021-01-22,C449C,STA.CRUZ DE TENERIFE,STA. CRUZ DE TENERIFE,36,"20,2",Ip,"16,6",07:50,"23,7",12:40,06,"2,8","8,6",14:00,"9,8","1022,7",Varias,"1020,4",15,71,91,23:50,57,12:50
2021-01-23,C449C,STA.CRUZ DE TENERIFE,STA. CRUZ DE TENERIFE,36,"19,6","0,0","17,2",23:59,"21,9",14:50,08,"2,8","8,3",16:00,"8,3","1022,5",00,"1018,6",16,76,95,02:00,66,14:40
2021-01-24,C449C,STA.CRUZ DE TENERIFE,STA. CRUZ DE TENERIFE,36,"19,0","0,0","16,2",04:30,"21,8",15:10,06,"1,9","5,0",14:00,"8,8","1020,0",00,"1016,7",18,72,88,20:30,53,07:40
2021-01-25,C449C,STA.CRUZ DE TENERIFE,STA. CRUZ DE TENERIFE,36,"19,0","0,0","16,0",05:40,"22,0",14:30,10,"3,6","8,6",13:50,"9,9","1021,0",23,"1017,2",05,69,75,Varias,60,09:20
2021-01-26,C449C,STA.CRUZ DE TENERIFE,STA. CRUZ DE TENERIFE,36,"18,7","0,0","15,4",04:40,"22,0",15:30,10,"3,9","9,4",14:20,"6,2","1021,9",11,"1018,7",15,71,80,04:10,61,15:00
2021-01-27,C449C,STA.CRUZ DE TENERIFE,STA. CRUZ DE TENERIFE,36,"18,8","0,0","15,9",06:30,"21,8",15:00,26,"2,8","5,6",08:40,"8,3","1019,7",00,"1016,2",16,79,91,21:20,71,13:00
2021-01-28,C449C,STA.CRUZ DE TENERIFE,STA. CRUZ DE TENERIFE,36,"20,0","0,0","15,2",06:50,"24,8",13:50,28,"2,5","4,7",05:50,"10,2","1018,8",11,"1016,4",06,64,91,21:50,40,13:40
2021-01-29,C449C,STA.CRUZ DE TENERIFE,STA. CRUZ DE TENERIFE,36,"19,2","0,0","15,4",05:10,"23,1",12:20,20,"1,4","5,0",10:50,"10,2","1021,1",11,"1017,8",Varias,76,94,03:20,56,11:50
2021-01-30,C449C,STA.CRUZ DE TENERIFE,STA. CRUZ DE TENERIFE,36,"19,1","0,0","15,8",07:30,"22,4",13:10,31,"2,5","10,6",01:30,"10,2","1022,0",Varias,"1019,5",17,68,86,Varias,54,17:30
2021-01-31,C449C,STA.CRUZ DE TENERIFE,STA. CRUZ DE TENERIFE,36,"21,3","0,0","17,0",08:10,"25,6",16:50,05,"1,9","7,5",11:50,"10,0","1022,0",00,"1017,2",18,55,88,Varias,35,17:10
