fecha_datos,isla,fecha,pcr_total,pcr_positivos,pcr_porcentaje_positivos,pcr_porcentaje_positivos_7dias
29/03/2022,EL HIERRO,01/01/2021,1,0,0,"4,529616724738676"
29/03/2022,EL HIERRO,02/01/2021,39,0,0,"4,529616724738676"
29/03/2022,EL HIERRO,03/01/2021,8,1,"12,5","3,833865814696486"
29/03/2022,EL HIERRO,04/01/2021,39,16,"41,02564102564103","4,088050314465409"
29/03/2022,EL HIERRO,05/01/2021,20,5,25,8
29/03/2022,EL HIERRO,06/01/2021,5,0,0,"14,285714285714286"
29/03/2022,EL HIERRO,07/01/2021,75,2,"2,666666666666667","15,428571428571429"
29/03/2022,EL HIERRO,08/01/2021,56,2,"3,571428571428572","12,834224598930481"
29/03/2022,EL HIERRO,09/01/2021,27,0,0,"10,743801652892563"
29/03/2022,EL HIERRO,10/01/2021,59,7,"11,864406779661017","11,304347826086957"
29/03/2022,EL HIERRO,11/01/2021,37,0,0,"11,387900355871887"
29/03/2022,EL HIERRO,12/01/2021,61,2,"3,278688524590164","5,734767025089606"
29/03/2022,EL HIERRO,13/01/2021,57,0,0,"4,0625"
29/03/2022,EL HIERRO,14/01/2021,63,0,0,"3,494623655913979"
29/03/2022,EL HIERRO,15/01/2021,26,3,"11,538461538461538","3,055555555555555"
29/03/2022,EL HIERRO,16/01/2021,49,7,"14,285714285714286","3,636363636363636"
29/03/2022,EL HIERRO,17/01/2021,2,0,0,"5,397727272727273"
29/03/2022,EL HIERRO,18/01/2021,58,2,"3,448275862068965","4,067796610169491"
29/03/2022,EL HIERRO,19/01/2021,32,9,"28,125","4,430379746835443"
29/03/2022,EL HIERRO,20/01/2021,59,8,"13,559322033898304","7,317073170731708"
29/03/2022,EL HIERRO,21/01/2021,64,9,"14,0625","10,034602076124568"
29/03/2022,EL HIERRO,22/01/2021,107,5,"4,672897196261682","13,10344827586207"
29/03/2022,EL HIERRO,23/01/2021,33,2,"6,060606060606061","10,78167115902965"
29/03/2022,EL HIERRO,24/01/2021,4,0,0,"9,859154929577464"
29/03/2022,EL HIERRO,25/01/2021,13,5,"38,46153846153846","9,803921568627452"
29/03/2022,EL HIERRO,26/01/2021,116,3,"2,586206896551724","12,179487179487179"
29/03/2022,EL HIERRO,27/01/2021,51,6,"11,764705882352942","8,080808080808081"
29/03/2022,EL HIERRO,28/01/2021,59,6,"10,169491525423728","7,731958762886598"
29/03/2022,EL HIERRO,29/01/2021,108,5,"4,62962962962963","7,049608355091384"
29/03/2022,EL HIERRO,30/01/2021,4,0,0,"7,03125"
29/03/2022,EL HIERRO,31/01/2021,7,0,0,"7,042253521126761"
29/03/2022,EL HIERRO,01/02/2021,20,8,40,"6,983240223463687"
29/03/2022,EL HIERRO,02/02/2021,84,8,"9,523809523809524","7,671232876712328"
29/03/2022,EL HIERRO,03/02/2021,178,50,"28,089887640449437","9,90990990990991"
29/03/2022,EL HIERRO,04/02/2021,85,3,"3,529411764705882","16,73913043478261"
29/03/2022,EL HIERRO,05/02/2021,41,8,"19,51219512195122","15,22633744855967"
29/03/2022,EL HIERRO,06/02/2021,35,2,"5,714285714285714","18,37708830548926"
29/03/2022,EL HIERRO,07/02/2021,4,0,0,"17,555555555555557"
29/03/2022,EL HIERRO,08/02/2021,28,1,"3,571428571428572","17,67337807606264"
29/03/2022,EL HIERRO,09/02/2021,62,2,"3,225806451612903","15,824175824175825"
29/03/2022,EL HIERRO,10/02/2021,92,39,"42,391304347826086","15,242494226327944"
29/03/2022,EL HIERRO,11/02/2021,30,0,0,"15,85014409221902"
29/03/2022,EL HIERRO,12/02/2021,42,5,"11,904761904761905","17,80821917808219"
29/03/2022,EL HIERRO,13/02/2021,10,1,10,"16,72354948805461"
29/03/2022,EL HIERRO,14/02/2021,6,0,0,"17,91044776119403"
29/03/2022,EL HIERRO,15/02/2021,79,1,"1,265822784810127","17,77777777777778"
29/03/2022,EL HIERRO,16/02/2021,9,1,"11,11111111111111","14,953271028037383"
29/03/2022,EL HIERRO,17/02/2021,66,0,0,"17,53731343283582"
29/03/2022,EL HIERRO,18/02/2021,45,0,0,"3,305785123966942"
29/03/2022,EL HIERRO,19/02/2021,72,13,"18,055555555555557","3,11284046692607"
29/03/2022,EL HIERRO,20/02/2021,7,0,0,"5,574912891986063"
29/03/2022,EL HIERRO,21/02/2021,14,1,"7,142857142857143","5,28169014084507"
29/03/2022,EL HIERRO,22/02/2021,21,2,"9,523809523809524","5,47945205479452"
29/03/2022,EL HIERRO,23/02/2021,46,10,"21,73913043478261","7,264957264957265"
29/03/2022,EL HIERRO,24/02/2021,13,0,0,"9,59409594095941"
29/03/2022,EL HIERRO,25/02/2021,56,0,0,"11,926605504587156"
29/03/2022,EL HIERRO,26/02/2021,26,2,"7,692307692307693","11,353711790393014"
29/03/2022,EL HIERRO,27/02/2021,5,0,0,"8,19672131147541"
29/03/2022,EL HIERRO,28/02/2021,3,0,0,"8,287292817679559"
29/03/2022,EL HIERRO,01/03/2021,12,0,0,"8,235294117647058"
29/03/2022,EL HIERRO,02/03/2021,35,1,"2,857142857142857","7,453416149068323"
29/03/2022,EL HIERRO,03/03/2021,43,3,"6,976744186046512",2
29/03/2022,EL HIERRO,04/03/2021,28,2,"7,142857142857143","3,333333333333334"
29/03/2022,EL HIERRO,05/03/2021,27,1,"3,703703703703704","5,263157894736843"
29/03/2022,EL HIERRO,06/03/2021,2,0,0,"4,57516339869281"
29/03/2022,EL HIERRO,07/03/2021,7,1,"14,285714285714286","4,666666666666667"
29/03/2022,EL HIERRO,08/03/2021,29,0,0,"5,194805194805195"
29/03/2022,EL HIERRO,09/03/2021,18,4,"22,22222222222222","4,678362573099415"
29/03/2022,EL HIERRO,10/03/2021,19,2,"10,526315789473685","7,142857142857143"
29/03/2022,EL HIERRO,11/03/2021,30,0,0,"7,692307692307693"
29/03/2022,EL HIERRO,12/03/2021,29,1,"3,448275862068965","6,060606060606061"
29/03/2022,EL HIERRO,13/03/2021,8,0,0,"5,970149253731344"
29/03/2022,EL HIERRO,14/03/2021,6,0,0,"5,714285714285714"
29/03/2022,EL HIERRO,15/03/2021,20,0,0,"5,035971223021583"
29/03/2022,EL HIERRO,16/03/2021,30,4,"13,333333333333334","5,384615384615385"
29/03/2022,EL HIERRO,17/03/2021,20,0,0,"4,929577464788732"
29/03/2022,EL HIERRO,18/03/2021,24,0,0,"3,496503496503497"
29/03/2022,EL HIERRO,19/03/2021,50,0,0,"3,64963503649635"
29/03/2022,EL HIERRO,20/03/2021,17,0,0,"2,531645569620253"
29/03/2022,EL HIERRO,21/03/2021,4,0,0,"2,395209580838323"
29/03/2022,EL HIERRO,22/03/2021,39,0,0,"2,424242424242424"
29/03/2022,EL HIERRO,23/03/2021,29,0,0,"2,173913043478261"
29/03/2022,EL HIERRO,24/03/2021,26,0,0,0
29/03/2022,EL HIERRO,25/03/2021,41,0,0,0
29/03/2022,EL HIERRO,26/03/2021,36,0,0,0
29/03/2022,EL HIERRO,27/03/2021,13,0,0,0
29/03/2022,EL HIERRO,28/03/2021,1,0,0,0
29/03/2022,EL HIERRO,29/03/2021,37,0,0,0
29/03/2022,EL HIERRO,30/03/2021,23,1,"4,347826086956522",0
29/03/2022,EL HIERRO,31/03/2021,31,0,0,"0,564971751412429"
29/03/2022,EL HIERRO,01/04/2021,4,0,0,"0,54945054945055"
29/03/2022,EL HIERRO,02/04/2021,1,0,0,"0,689655172413793"
29/03/2022,EL HIERRO,03/04/2021,24,0,0,"0,909090909090909"
29/03/2022,EL HIERRO,04/04/2021,4,0,0,"0,826446280991736"
29/03/2022,EL HIERRO,05/04/2021,42,0,0,"0,806451612903226"
29/03/2022,EL HIERRO,06/04/2021,40,1,"2,5","0,775193798449612"
29/03/2022,EL HIERRO,07/04/2021,37,0,0,"0,684931506849315"
29/03/2022,EL HIERRO,08/04/2021,22,0,0,"0,657894736842105"
29/03/2022,EL HIERRO,09/04/2021,17,2,"11,764705882352942","0,588235294117647"
29/03/2022,EL HIERRO,10/04/2021,31,0,0,"1,612903225806452"
29/03/2022,EL HIERRO,11/04/2021,5,0,0,"1,55440414507772"
29/03/2022,EL HIERRO,12/04/2021,20,1,5,"1,54639175257732"
29/03/2022,EL HIERRO,13/04/2021,31,3,"9,67741935483871","2,325581395348837"
29/03/2022,EL HIERRO,14/04/2021,46,12,"26,08695652173913","3,680981595092025"
29/03/2022,EL HIERRO,15/04/2021,91,13,"14,285714285714286","10,465116279069768"
29/03/2022,EL HIERRO,16/04/2021,10,2,20,"12,863070539419088"
29/03/2022,EL HIERRO,17/04/2021,86,5,"5,813953488372093","13,247863247863247"
29/03/2022,EL HIERRO,18/04/2021,6,0,0,"12,456747404844291"
29/03/2022,EL HIERRO,19/04/2021,43,0,0,"12,413793103448276"
29/03/2022,EL HIERRO,20/04/2021,18,4,"22,22222222222222","11,182108626198083"
29/03/2022,EL HIERRO,21/04/2021,78,9,"11,538461538461538",12
29/03/2022,EL HIERRO,22/04/2021,73,3,"4,109589041095891","9,939759036144578"
29/03/2022,EL HIERRO,23/04/2021,93,6,"6,451612903225806","7,32484076433121"
29/03/2022,EL HIERRO,24/04/2021,53,1,"1,886792452830189","6,801007556675063"
29/03/2022,EL HIERRO,25/04/2021,3,0,0,"6,318681318681318"
29/03/2022,EL HIERRO,26/04/2021,85,5,"5,882352941176471","6,371191135734072"
29/03/2022,EL HIERRO,27/04/2021,103,2,"1,941747572815534","6,947890818858561"
29/03/2022,EL HIERRO,28/04/2021,55,2,"3,636363636363636","5,327868852459017"
29/03/2022,EL HIERRO,29/04/2021,56,4,"7,142857142857143","4,086021505376344"
29/03/2022,EL HIERRO,30/04/2021,68,3,"4,411764705882353","4,464285714285714"
29/03/2022,EL HIERRO,01/05/2021,38,6,"15,789473684210526","4,018912529550828"
29/03/2022,EL HIERRO,02/05/2021,5,0,0,"5,392156862745098"
29/03/2022,EL HIERRO,03/05/2021,50,0,0,"5,365853658536586"
29/03/2022,EL HIERRO,04/05/2021,33,0,0,"4,533333333333333"
29/03/2022,EL HIERRO,05/05/2021,26,1,"3,846153846153846","4,918032786885246"
