fecha_datos,codigo_centro,fecha,unidad_funcional,cv19,nocv19
30/06/2023,350367,25/09/2020,HPT,0,91
30/06/2023,380012,16/01/2023,CCR,1,37
30/06/2023,380326,04/07/2020,CCR,0,39
30/06/2023,380103,11/03/2022,CSR,0,0
30/06/2023,380064,03/11/2020,CSR,0,0
30/06/2023,380103,08/10/2022,CSR,0,0
30/06/2023,350367,21/05/2021,CSR,0,0
30/06/2023,380276,04/04/2023,CSR,0,0
30/06/2023,350228,09/09/2021,CSR,0,0
30/06/2023,350367,13/12/2022,CCR,0,6
30/06/2023,350304,08/10/2020,CCR,0,0
30/06/2023,350173,09/04/2022,HPT,0,96
30/06/2023,380295,18/11/2020,CSR,0,2
30/06/2023,350154,02/07/2022,CSR,0,0
30/06/2023,380012,13/03/2021,HPT,48,651
30/06/2023,350367,07/12/2022,HPT,1,118
30/06/2023,350367,14/06/2021,CCR,0,2
30/06/2023,380282,31/01/2023,CSR,0,0
30/06/2023,380064,06/04/2023,HPT,1,78
30/06/2023,350304,14/03/2023,CSR,0,0
30/06/2023,350367,17/08/2020,HPT,2,115
30/06/2023,380086,16/02/2021,HPT,0,126
30/06/2023,350304,18/12/2022,CCR,0,10
30/06/2023,380103,20/05/2023,CSR,0,0
30/06/2023,380316,03/02/2021,CCR,0,4
30/06/2023,380223,23/07/2020,CCR,0,1
30/06/2023,350154,11/03/2023,HPT,0,81
30/06/2023,350304,10/03/2023,HPT,0,49
30/06/2023,350120,20/04/2021,CCR,0,0
30/06/2023,380282,11/04/2023,CCR,0,0
30/06/2023,380326,08/07/2020,CSR,0,5
30/06/2023,350252,21/12/2020,CSR,0,0
30/06/2023,380276,18/08/2021,CSR,0,0
30/06/2023,350252,28/12/2020,CCR,0,2
30/06/2023,350332,17/06/2020,HPT,0,567
30/06/2023,380244,21/07/2021,CSR,0,0
30/06/2023,380064,03/02/2022,CSR,0,0
30/06/2023,380295,08/09/2022,CSR,0,2
30/06/2023,380086,23/01/2022,CCR,0,0
30/06/2023,380326,22/06/2020,CSR,0,6
30/06/2023,380276,24/02/2023,CSR,0,0
30/06/2023,350206,19/05/2023,CCR,0,2
30/06/2023,380295,03/04/2020,CCR,0,1
30/06/2023,350367,09/07/2021,HPT,0,93
30/06/2023,380012,16/11/2022,HPT,23,669
30/06/2023,350154,01/07/2022,HPT,0,75
30/06/2023,350120,12/04/2021,CCR,0,0
30/06/2023,350332,01/12/2020,HPT,10,583
30/06/2023,350173,15/09/2021,HPT,0,103
30/06/2023,350326,21/10/2022,CSR,0,2
30/06/2023,380012,05/05/2021,CCR,14,26
30/06/2023,380146,23/08/2020,CCR,0,3
30/06/2023,380316,28/06/2021,CCR,0,5
30/06/2023,350367,26/05/2021,CSR,0,4
30/06/2023,380223,20/05/2020,CCR,0,1
30/06/2023,350367,07/06/2022,CCR,0,0
30/06/2023,350173,21/08/2021,HPT,0,77
30/06/2023,380276,19/02/2021,CCR,0,0
30/06/2023,350326,09/06/2020,CSR,0,1
30/06/2023,350252,09/01/2023,CSR,0,0
30/06/2023,350120,19/09/2021,CCR,0,0
30/06/2023,380223,21/04/2020,CCR,0,2
30/06/2023,350326,29/12/2022,CCR,0,0
30/06/2023,380103,22/08/2022,HPT,0,67
30/06/2023,380295,13/12/2022,CSR,0,2
30/06/2023,380086,25/04/2020,CSR,0,0
30/06/2023,350173,04/06/2022,CCR,0,1
30/06/2023,380326,02/06/2021,CSR,0,3
30/06/2023,380326,06/09/2021,CSR,0,6
30/06/2023,380244,22/09/2020,CSR,0,0
30/06/2023,380103,02/03/2022,HPT,0,61
30/06/2023,380223,10/06/2022,CCR,1,0
30/06/2023,350290,26/08/2022,CCR,1,16
30/06/2023,380295,13/05/2023,CCR,0,1
30/06/2023,380326,12/11/2021,HPT,6,530
30/06/2023,350252,27/12/2022,HPT,3,102
30/06/2023,350326,04/01/2023,HPT,2,18
30/06/2023,380244,16/03/2023,CCR,0,0
30/06/2023,350173,15/12/2021,CCR,0,6
30/06/2023,350290,24/07/2021,HPT,45,529
30/06/2023,380244,03/05/2021,CCR,0,0
30/06/2023,350120,18/08/2022,HPT,1,113
30/06/2023,380282,08/05/2020,HPT,0,16
30/06/2023,350290,27/11/2022,CCR,2,29
30/06/2023,380276,03/09/2020,CSR,0,0
30/06/2023,350154,24/05/2022,CCR,0,0
30/06/2023,380244,15/05/2021,CCR,0,0
30/06/2023,350120,27/01/2021,CSR,0,2
30/06/2023,350252,20/12/2021,CSR,0,0
30/06/2023,380012,08/01/2022,CSR,0,0
30/06/2023,380064,07/07/2020,CCR,0,3
30/06/2023,380064,07/03/2021,CSR,0,0
30/06/2023,380276,21/06/2023,CCR,0,0
30/06/2023,350332,29/08/2021,CSR,0,0
30/06/2023,380012,27/09/2020,CCR,11,22
30/06/2023,380223,13/11/2022,HPT,11,162
30/06/2023,380012,26/07/2020,CCR,0,32
30/06/2023,350252,24/05/2020,CSR,0,0
30/06/2023,350367,21/05/2023,CSR,0,0
30/06/2023,380012,16/04/2022,CSR,0,0
30/06/2023,380223,21/02/2023,CSR,0,0
30/06/2023,350228,15/03/2023,CCR,0,3
30/06/2023,350326,10/08/2021,CSR,0,1
30/06/2023,350367,25/02/2022,CSR,0,0
30/06/2023,380244,26/09/2020,HPT,0,20
30/06/2023,380282,16/02/2022,HPT,0,14
30/06/2023,350120,10/08/2021,CCR,0,0
30/06/2023,380146,30/08/2021,HPT,2,83
30/06/2023,350154,09/03/2023,CCR,0,0
30/06/2023,380244,03/06/2022,CSR,0,0
30/06/2023,350367,26/05/2022,CSR,0,0
30/06/2023,380012,15/04/2020,CCR,25,13
30/06/2023,350154,10/08/2022,HPT,0,78
30/06/2023,350332,27/10/2021,HPT,6,639
30/06/2023,380295,30/04/2022,CSR,0,1
30/06/2023,350252,01/04/2022,CCR,0,3
30/06/2023,380103,14/10/2022,HPT,0,64
30/06/2023,350332,25/12/2021,HPT,34,538
30/06/2023,380326,05/09/2021,CCR,16,24
30/06/2023,350228,03/04/2021,HPT,3,152
30/06/2023,350290,19/05/2022,HPT,58,612
30/06/2023,380146,03/10/2021,CSR,0,2
30/06/2023,380326,24/04/2020,CCR,13,24
30/06/2023,380282,11/06/2023,CSR,0,0
30/06/2023,380146,24/10/2021,HPT,7,83
30/06/2023,380223,13/02/2021,CSR,0,0
30/06/2023,380012,07/05/2022,HPT,41,647
30/06/2023,350173,22/03/2021,CCR,0,7
30/06/2023,380064,02/06/2022,HPT,0,92
30/06/2023,350332,31/08/2020,HPT,80,507
30/06/2023,350304,16/04/2020,CCR,0,0
30/06/2023,350332,23/12/2021,CCR,11,46
30/06/2023,380103,30/12/2021,CCR,0,1
30/06/2023,380012,02/02/2021,HPT,64,639
30/06/2023,350252,08/07/2022,HPT,6,103
30/06/2023,380244,07/11/2020,CCR,0,0
30/06/2023,380223,09/03/2022,CSR,0,0
30/06/2023,350228,06/01/2021,CSR,0,0
30/06/2023,380223,07/11/2022,HPT,5,162
30/06/2023,380223,04/07/2022,CCR,0,1
30/06/2023,380223,04/03/2023,CCR,0,4
30/06/2023,380316,05/05/2022,CCR,0,7
30/06/2023,380316,08/10/2021,CCR,2,4
30/06/2023,350173,02/10/2021,CSR,0,0
30/06/2023,380223,16/11/2022,CSR,0,0
30/06/2023,380103,18/12/2022,CCR,0,0
30/06/2023,380244,11/04/2021,CSR,0,0
30/06/2023,350332,11/03/2023,CCR,0,50
30/06/2023,380103,25/03/2022,CSR,0,1
30/06/2023,380103,13/11/2022,CSR,0,2
30/06/2023,350290,30/12/2022,HPT,19,544
30/06/2023,350304,09/03/2023,CSR,0,0
30/06/2023,350367,28/12/2022,CCR,1,7
30/06/2023,380282,24/06/2021,CCR,0,0
30/06/2023,350304,22/04/2020,HPT,0,23
30/06/2023,350332,13/05/2021,CSR,0,0
30/06/2023,380064,12/04/2020,CCR,0,3
30/06/2023,380326,23/01/2023,CSR,0,6
30/06/2023,380282,22/05/2021,CCR,0,0
30/06/2023,350326,20/07/2020,CSR,0,0
30/06/2023,380223,19/12/2022,CSR,0,0
30/06/2023,350206,09/05/2022,HPT,0,140
30/06/2023,350326,19/03/2022,HPT,0,4
30/06/2023,380276,11/12/2021,CSR,0,0
30/06/2023,380282,29/06/2021,CCR,0,0
30/06/2023,350154,27/03/2021,CSR,0,0
30/06/2023,380244,15/12/2021,CSR,0,0
30/06/2023,380316,17/06/2020,CCR,0,4
30/06/2023,380012,11/01/2022,HPT,221,474
30/06/2023,380012,22/08/2020,CSR,0,0
30/06/2023,350120,21/05/2023,HPT,1,88
30/06/2023,350120,23/08/2022,HPT,0,120
30/06/2023,380326,22/11/2021,CCR,2,33
30/06/2023,380276,19/12/2021,CSR,0,0
30/06/2023,350326,27/05/2023,HPT,0,10
30/06/2023,380086,09/04/2022,HPT,4,105
30/06/2023,350326,16/04/2020,HPT,0,3
30/06/2023,350326,02/07/2020,HPT,0,5
30/06/2023,380086,18/10/2022,HPT,1,120
30/06/2023,380086,19/02/2021,HPT,1,117
30/06/2023,380064,17/01/2021,HPT,0,90
30/06/2023,380146,20/12/2022,CSR,0,4
30/06/2023,350290,30/06/2022,CSR,0,0
30/06/2023,380316,02/04/2022,CCR,0,4
30/06/2023,380282,14/05/2022,CSR,0,0
30/06/2023,350252,14/05/2023,CCR,1,2
30/06/2023,380064,09/06/2020,CSR,0,0
30/06/2023,350173,02/02/2023,CCR,0,4
30/06/2023,350120,19/12/2021,CSR,0,0
30/06/2023,380244,11/07/2022,CCR,0,0
30/06/2023,380282,13/07/2021,CSR,0,0
30/06/2023,380012,11/02/2022,HPT,168,482
30/06/2023,350173,20/08/2020,HPT,2,58
30/06/2023,380276,11/05/2022,CCR,0,0
30/06/2023,380326,31/07/2022,CCR,8,31
30/06/2023,350367,25/05/2020,CSR,0,6
30/06/2023,350228,27/04/2023,CCR,0,3
30/06/2023,350206,20/06/2023,CCR,0,4
30/06/2023,350367,16/02/2021,CCR,1,2
30/06/2023,380012,01/07/2022,CCR,4,27
30/06/2023,380223,19/05/2023,CCR,0,1
30/06/2023,380276,06/09/2020,HPT,0,18
30/06/2023,380282,08/11/2021,HPT,0,25
30/06/2023,380064,07/04/2022,CSR,0,0
30/06/2023,380244,14/05/2021,HPT,0,15
30/06/2023,350252,26/04/2022,CCR,0,2
30/06/2023,380223,12/08/2020,CSR,0,0
30/06/2023,350367,31/01/2022,CSR,0,0
30/06/2023,380276,08/10/2021,CCR,0,0
30/06/2023,350290,31/08/2021,HPT,65,524
30/06/2023,380146,11/03/2021,CSR,0,2
30/06/2023,380086,15/08/2022,CCR,0,0
30/06/2023,350252,31/03/2023,CSR,0,0
30/06/2023,350206,14/11/2022,HPT,0,134
30/06/2023,350120,29/05/2020,CCR,0,0
30/06/2023,350120,21/07/2020,CSR,0,5
30/06/2023,380146,18/06/2021,CSR,0,2
30/06/2023,380012,20/05/2021,CCR,10,30
30/06/2023,380103,10/04/2023,HPT,0,59
30/06/2023,350120,23/05/2022,HPT,1,116
30/06/2023,380146,20/03/2023,CSR,0,4
30/06/2023,380244,04/03/2021,CSR,0,0
30/06/2023,350252,16/09/2020,HPT,8,71
30/06/2023,380295,18/02/2023,HPT,0,40
30/06/2023,380223,24/05/2023,HPT,0,152
30/06/2023,380086,24/06/2023,CSR,1,0
30/06/2023,380146,26/10/2021,HPT,8,80
30/06/2023,350304,23/02/2021,HPT,0,41
30/06/2023,350206,07/02/2021,CCR,0,2
30/06/2023,350206,06/02/2022,CSR,0,0
30/06/2023,350304,01/01/2022,CCR,0,6
30/06/2023,350304,23/08/2020,CSR,0,0
30/06/2023,380146,25/05/2021,HPT,2,80
30/06/2023,380244,18/11/2020,CCR,0,0
30/06/2023,380326,20/06/2023,HPT,13,506
30/06/2023,380223,10/05/2021,CCR,0,4
30/06/2023,350120,08/06/2022,HPT,0,114
30/06/2023,350154,15/11/2020,CSR,0,0
30/06/2023,380244,12/02/2021,CSR,0,0
30/06/2023,380086,07/07/2022,CCR,0,0
30/06/2023,350290,21/08/2020,CCR,3,20
30/06/2023,380064,05/11/2022,HPT,0,67
30/06/2023,350173,18/04/2020,HPT,0,64
30/06/2023,380086,24/12/2020,HPT,1,100
30/06/2023,350252,13/08/2020,CSR,0,0
