fecha,indicativo,nombre,provincia,altitud,tmed,prec,tmin,horatmin,tmax,horatmax,dir,velmedia,racha,horaracha,sol,presMax,horaPresMax,presMin,horaPresMin,hrMedia,hrMax,horaHrMax,hrMin,horaHrMin,isla
2021-01-01,C249I,FUERTEVENTURA AEROPUERTO,LAS PALMAS,25,"18,2","0,0","15,9",23:13,"20,6",14:09,01,"7,8","13,9",06:00,"2,7","1018,8",Varias,"1016,2",16,58,71,17:25,48,12:56,Fuerteventura
2021-01-02,C249I,FUERTEVENTURA AEROPUERTO,LAS PALMAS,25,"18,0","0,0","15,6",02:13,"20,4",12:45,02,"6,4","11,4",Varias,"2,0","1016,9",00,"1013,6",19,59,72,Varias,46,12:46,Fuerteventura
2021-01-03,C249I,FUERTEVENTURA AEROPUERTO,LAS PALMAS,25,"18,1","0,0","16,1",06:40,"20,1",11:49,99,"4,7","9,7",Varias,"2,8","1015,3",Varias,"1012,0",16,61,70,02:19,49,12:27,Fuerteventura
2021-01-04,C249I,FUERTEVENTURA AEROPUERTO,LAS PALMAS,25,"16,7","0,0","14,3",06:37,"19,1",13:30,17,"4,4","9,7",15:46,"0,4","1013,2",01,"1008,2",24,69,76,Varias,63,12:36,Fuerteventura
2021-01-05,C249I,FUERTEVENTURA AEROPUERTO,LAS PALMAS,25,"20,8","0,0","16,2",00:07,"25,4",13:32,30,"4,4","12,5",14:01,"8,8","1008,8",Varias,"1005,5",15,66,86,Varias,50,14:50,Fuerteventura
2021-01-06,C249I,FUERTEVENTURA AEROPUERTO,LAS PALMAS,25,"21,6","1,2","19,3",02:14,"23,9",13:51,24,"10,0","17,5",15:22,"1,1","1006,7",00,"1001,5",15,77,87,20:28,67,15:19,Fuerteventura
2021-01-07,C249I,FUERTEVENTURA AEROPUERTO,LAS PALMAS,25,"21,9","2,5","19,2",04:07,"24,6",11:52,23,"9,2","20,0",13:45,"4,6","1004,3",01,"1000,9",23,76,88,Varias,63,16:01,Fuerteventura
2021-01-08,C249I,FUERTEVENTURA AEROPUERTO,LAS PALMAS,25,"18,6","1,5","16,0",23:53,"21,2",12:15,99,"7,8","20,0",Varias,"5,2","1012,2",Varias,"999,3",03,72,84,00:18,58,11:46,Fuerteventura
2021-01-09,C249I,FUERTEVENTURA AEROPUERTO,LAS PALMAS,25,"15,6","1,0","12,4",04:51,"18,9",15:21,35,"6,9","14,4",16:57,"6,1","1018,1",Varias,"1011,9",02,71,86,12:40,46,14:59,Fuerteventura
2021-01-10,C249I,FUERTEVENTURA AEROPUERTO,LAS PALMAS,25,"16,8","1,5","13,7",23:57,"19,9",15:42,33,"6,7","15,0",11:10,"6,1","1019,3",Varias,"1016,3",06,64,90,Varias,49,15:27,Fuerteventura
2021-01-11,C249I,FUERTEVENTURA AEROPUERTO,LAS PALMAS,25,"16,0","0,2","12,9",03:27,"19,2",13:02,35,"5,0","14,4",13:35,"4,0","1021,1",Varias,"1018,1",05,69,82,Varias,53,13:09,Fuerteventura
2021-01-12,C249I,FUERTEVENTURA AEROPUERTO,LAS PALMAS,25,"16,6","0,0","13,8",01:46,"19,3",12:29,03,"6,1","11,7",21:13,"2,8","1022,8",Varias,"1019,8",05,66,84,03:01,48,11:30,Fuerteventura
2021-01-13,C249I,FUERTEVENTURA AEROPUERTO,LAS PALMAS,25,"17,6","0,0","15,1",23:45,"20,1",13:46,99,"5,0","11,4",Varias,"8,8","1025,2",Varias,"1022,2",04,55,76,02:34,32,16:27,Fuerteventura
2021-01-14,C249I,FUERTEVENTURA AEROPUERTO,LAS PALMAS,25,"17,2","0,0","14,2",04:17,"20,1",11:58,03,"7,2","14,4",23:29,"5,8","1026,5",Varias,"1023,5",15,61,76,05:01,51,15:54,Fuerteventura
2021-01-15,C249I,FUERTEVENTURA AEROPUERTO,LAS PALMAS,25,"18,1","0,0","16,4",03:47,"19,8",14:49,03,"8,3","14,4",Varias,"1,7","1024,5",Varias,"1021,6",16,57,69,19:22,47,15:25,Fuerteventura
2021-01-16,C249I,FUERTEVENTURA AEROPUERTO,LAS PALMAS,25,"18,4","0,0","16,5",23:53,"20,4",13:56,99,"8,9","13,9",Varias,"6,7","1023,2",Varias,"1020,5",15,64,70,23:56,53,14:48,Fuerteventura
2021-01-17,C249I,FUERTEVENTURA AEROPUERTO,LAS PALMAS,25,"17,3","0,0","14,8",23:55,"19,8",Varias,99,"5,0","10,8",Varias,"6,1","1023,9",Varias,"1020,7",04,66,81,Varias,58,11:46,Fuerteventura
2021-01-18,C249I,FUERTEVENTURA AEROPUERTO,LAS PALMAS,25,"16,0","0,0","12,5",07:40,"19,6",Varias,32,"3,1","6,1",08:14,"9,5","1023,9",Varias,"1021,2",04,73,86,07:36,62,16:25,Fuerteventura
2021-01-19,C249I,FUERTEVENTURA AEROPUERTO,LAS PALMAS,25,"16,4","0,0","13,2",23:51,"19,5",14:38,99,"3,3","6,7",Varias,"8,4","1023,5",Varias,"1019,5",17,69,81,23:30,62,12:21,Fuerteventura
2021-01-20,C249I,FUERTEVENTURA AEROPUERTO,LAS PALMAS,25,"15,2","0,0","10,9",07:21,"19,6",14:18,99,"2,5","5,8",Varias,"9,9","1021,3",Varias,"1018,9",16,74,87,07:30,62,14:24,Fuerteventura
2021-01-21,C249I,FUERTEVENTURA AEROPUERTO,LAS PALMAS,25,"19,2","0,0","16,4",03:43,"21,9",16:01,99,"4,4","8,3",Varias,"5,8","1023,1",24,"1020,1",02,77,83,Varias,71,15:58,Fuerteventura
2021-01-22,C249I,FUERTEVENTURA AEROPUERTO,LAS PALMAS,25,"18,7","0,0","16,5",02:50,"20,9",13:17,02,"5,3","10,3",22:10,"1,3","1023,9",Varias,"1020,8",15,84,92,23:49,79,00:00,Fuerteventura
2021-01-23,C249I,FUERTEVENTURA AEROPUERTO,LAS PALMAS,25,"19,0","0,0","17,2",08:30,"20,8",13:52,04,"5,8","11,4",19:30,"5,1","1023,1",00,"1018,9",16,76,92,04:30,66,14:44,Fuerteventura
2021-01-24,C249I,FUERTEVENTURA AEROPUERTO,LAS PALMAS,25,"18,3","0,0","15,4",07:32,"21,2",13:41,99,"4,4","8,3",Varias,"7,1","1020,4",Varias,"1017,4",17,77,87,Varias,71,15:04,Fuerteventura
2021-01-25,C249I,FUERTEVENTURA AEROPUERTO,LAS PALMAS,25,"18,4","0,0","15,1",07:13,"21,8",14:51,03,"6,1","11,4",22:38,"8,3","1021,3",Varias,"1017,8",05,76,83,Varias,68,11:50,Fuerteventura
2021-01-26,C249I,FUERTEVENTURA AEROPUERTO,LAS PALMAS,25,"19,6","0,0","17,8",01:28,"21,5",14:39,03,"8,1","13,9",05:07,"7,2","1021,4",Varias,"1018,4",16,76,84,Varias,68,13:23,Fuerteventura
2021-01-27,C249I,FUERTEVENTURA AEROPUERTO,LAS PALMAS,25,"18,0","0,0","15,7",23:59,"20,3",13:50,03,"3,9","10,8",00:09,"7,4","1020,3",Varias,"1017,2",Varias,84,89,Varias,54,23:44,Fuerteventura
2021-01-28,C249I,FUERTEVENTURA AEROPUERTO,LAS PALMAS,25,"18,6","0,0","15,0",Varias,"22,3",Varias,28,"2,5","6,7",07:35,"10,1","1019,7",Varias,"1017,2",05,67,88,21:31,40,09:22,Fuerteventura
2021-01-29,C249I,FUERTEVENTURA AEROPUERTO,LAS PALMAS,25,"17,4","0,0","13,0",07:32,"21,7",14:42,01,"2,2","6,7",00:54,"10,0","1021,8",Varias,"1019,1",03,85,96,02:11,65,08:49,Fuerteventura
2021-01-30,C249I,FUERTEVENTURA AEROPUERTO,LAS PALMAS,25,"18,6","0,0","16,5",01:43,"20,8",13:18,99,"6,1","12,8",Varias,"7,8","1022,9",Varias,"1020,4",17,77,92,01:07,68,13:52,Fuerteventura
2021-01-31,C249I,FUERTEVENTURA AEROPUERTO,LAS PALMAS,25,"20,1","0,0","16,5",07:52,"23,7",15:49,03,"6,1","14,4",04:03,"9,6","1022,1",00,"1017,2",17,67,93,Varias,50,15:49,Fuerteventura
