fecha,indicativo,nombre,provincia,altitud,tmed,prec,tmin,horatmin,tmax,horatmax,dir,velmedia,racha,horaracha,sol,presMax,horaPresMax,presMin,horaPresMin,hrMedia,hrMax,horaHrMax,hrMin,horaHrMin,isla
2021-01-01,C649I,GRAN CANARIA AEROPUERTO,LAS PALMAS,24,"17,6","0,1","15,0",23:59,"20,3",14:10,99,"8,3","13,3",Varias,"1,9","1017,4",Varias,"1014,9",19,60,89,23:46,46,10:42,Gran Canaria
2021-01-02,C649I,GRAN CANARIA AEROPUERTO,LAS PALMAS,24,"17,4","0,0","15,0",00:30,"19,7",15:50,99,"5,3","9,2",Varias,"2,4","1015,4",Varias,"1011,7",18,63,88,00:02,48,15:38,Gran Canaria
2021-01-03,C649I,GRAN CANARIA AEROPUERTO,LAS PALMAS,24,"17,6","0,0","15,9",07:00,"19,3",12:50,03,"2,8","6,7",00:36,"0,3","1013,8",Varias,"1009,9",16,63,70,23:30,56,15:20,Gran Canaria
2021-01-04,C649I,GRAN CANARIA AEROPUERTO,LAS PALMAS,24,"17,8","0,0","16,1",00:10,"19,5",13:50,21,"7,2","16,1",13:44,"0,3","1011,5",00,"1005,2",16,72,85,23:58,67,13:07,Gran Canaria
2021-01-05,C649I,GRAN CANARIA AEROPUERTO,LAS PALMAS,24,"20,2","0,1","15,8",06:30,"24,5",14:50,21,"3,1","15,0",00:09,"8,6","1007,0",Varias,"1003,5",15,67,90,01:19,54,11:35,Gran Canaria
2021-01-06,C649I,GRAN CANARIA AEROPUERTO,LAS PALMAS,24,"21,8","1,7","19,1",01:00,"24,4",17:00,99,"9,2","17,5",Varias,"2,3","1004,4",00,"998,6",15,76,95,08:03,56,17:59,Gran Canaria
2021-01-07,C649I,GRAN CANARIA AEROPUERTO,LAS PALMAS,24,"21,6","21,4","18,7",22:10,"24,5",14:40,21,,"21,7",11:30,"6,6","1001,9",00,"997,7",18,75,96,12:46,52,17:41,Gran Canaria
2021-01-08,C649I,GRAN CANARIA AEROPUERTO,LAS PALMAS,24,"17,7","3,9","14,3",22:30,"21,1",13:10,23,"5,8","16,9",00:02,"4,2","1011,1",Varias,"997,5",01,68,90,14:37,52,04:23,Gran Canaria
2021-01-09,C649I,GRAN CANARIA AEROPUERTO,LAS PALMAS,24,"16,0","0,4","13,5",02:30,"18,5",13:00,08,"6,7","18,9",14:34,"8,4","1017,5",Varias,"1010,7",00,58,78,11:33,43,14:30,Gran Canaria
2021-01-10,C649I,GRAN CANARIA AEROPUERTO,LAS PALMAS,24,"16,9","1,3","13,6",02:00,"20,2",13:40,09,"7,2","16,1",13:58,"8,6","1018,6",Varias,"1015,6",16,64,89,Varias,40,15:15,Gran Canaria
2021-01-11,C649I,GRAN CANARIA AEROPUERTO,LAS PALMAS,24,"16,0","2,0","13,5",01:30,"18,6",13:50,03,"6,4","14,4",13:45,"5,3","1019,7",Varias,"1016,9",15,69,89,01:07,50,13:31,Gran Canaria
2021-01-12,C649I,GRAN CANARIA AEROPUERTO,LAS PALMAS,24,"15,9","0,7","13,1",08:30,"18,7",15:30,99,"6,1","12,8",Varias,"5,7","1021,4",Varias,"1018,1",05,82,92,08:20,50,16:17,Gran Canaria
2021-01-13,C649I,GRAN CANARIA AEROPUERTO,LAS PALMAS,24,"17,3","0,0","14,8",04:00,"19,8",14:20,03,"8,1","12,8",12:43,"7,6","1023,4",Varias,"1020,3",05,63,85,05:14,53,14:12,Gran Canaria
2021-01-14,C649I,GRAN CANARIA AEROPUERTO,LAS PALMAS,24,"17,4",Ip,"14,7",06:40,"20,1",13:00,03,"5,6","12,5",23:53,"3,9","1024,5",Varias,"1021,6",15,61,75,02:08,50,12:59,Gran Canaria
2021-01-15,C649I,GRAN CANARIA AEROPUERTO,LAS PALMAS,24,"18,0","0,0","16,0",06:20,"19,9",13:50,99,"9,7","15,0",Varias,"2,2","1023,2",Varias,"1019,8",16,58,68,17:30,48,02:53,Gran Canaria
2021-01-16,C649I,GRAN CANARIA AEROPUERTO,LAS PALMAS,24,"18,0","0,0","15,5",06:20,"20,6",12:00,02,"8,6","13,3",03:20,"8,7","1021,6",Varias,"1018,7",16,60,69,18:09,48,10:18,Gran Canaria
2021-01-17,C649I,GRAN CANARIA AEROPUERTO,LAS PALMAS,24,"17,7","0,0","15,5",23:59,"19,9",12:50,99,"5,8","11,4",Varias,"8,9","1022,1",Varias,"1019,1",05,61,73,23:46,54,11:09,Gran Canaria
2021-01-18,C649I,GRAN CANARIA AEROPUERTO,LAS PALMAS,24,"17,4","0,0","14,9",06:00,"19,8",14:20,05,"3,6","7,2",13:07,"9,6","1021,7",Varias,"1019,3",04,70,80,21:54,59,11:58,Gran Canaria
2021-01-19,C649I,GRAN CANARIA AEROPUERTO,LAS PALMAS,24,,"0,0",,,,,05,"2,8","13,9",04:46,"6,3","1021,5",Varias,"1017,6",16,72,84,23:15,60,12:11,Gran Canaria
2021-01-20,C649I,GRAN CANARIA AEROPUERTO,LAS PALMAS,24,"16,2","0,0","12,4",07:20,"20,0",13:30,36,"2,8","9,7",23:48,"8,3","1019,4",Varias,"1017,3",16,71,84,05:08,60,09:54,Gran Canaria
2021-01-21,C649I,GRAN CANARIA AEROPUERTO,LAS PALMAS,24,"18,8","0,1","15,7",01:10,"21,9",14:50,03,"6,7","13,3",15:37,"7,5","1021,3",Varias,"1018,3",16,71,87,23:45,62,12:44,Gran Canaria
2021-01-22,C649I,GRAN CANARIA AEROPUERTO,LAS PALMAS,24,"19,5",Ip,"17,3",Varias,"21,7",14:10,99,"8,6","13,9",Varias,"8,1","1021,9",Varias,"1019,4",16,79,96,06:48,66,13:17,Gran Canaria
2021-01-23,C649I,GRAN CANARIA AEROPUERTO,LAS PALMAS,24,"19,2","0,2","16,9",06:00,"21,5",13:40,03,"7,5","12,8",14:21,"6,2","1021,2",00,"1017,1",16,77,96,09:42,62,13:42,Gran Canaria
2021-01-24,C649I,GRAN CANARIA AEROPUERTO,LAS PALMAS,24,"18,6","0,0","15,7",04:40,"21,5",12:40,99,"5,6","9,2",Varias,"7,8","1018,7",00,"1015,5",17,80,90,20:56,61,11:47,Gran Canaria
2021-01-25,C649I,GRAN CANARIA AEROPUERTO,LAS PALMAS,24,"18,8","0,0","16,1",07:00,"21,5",12:20,02,"8,6","13,3",20:09,"10,1","1019,5",Varias,"1015,9",05,73,89,Varias,62,14:39,Gran Canaria
2021-01-26,C649I,GRAN CANARIA AEROPUERTO,LAS PALMAS,24,"19,4","0,0","17,3",02:00,"21,5",12:50,99,"9,7","15,3",Varias,"8,3","1020,0",Varias,"1016,8",18,67,80,23:22,58,12:45,Gran Canaria
2021-01-27,C649I,GRAN CANARIA AEROPUERTO,LAS PALMAS,24,"19,4","0,0","16,6",04:00,"22,1",11:20,10,"5,3","11,4",00:22,"10,1","1018,1",00,"1015,0",18,78,93,21:54,66,11:17,Gran Canaria
2021-01-28,C649I,GRAN CANARIA AEROPUERTO,LAS PALMAS,24,"19,3","0,0","13,8",05:50,"24,8",13:20,99,"2,8","7,8",Varias,"10,3","1017,7",Varias,"1015,1",05,57,91,Varias,26,09:32,Gran Canaria
2021-01-29,C649I,GRAN CANARIA AEROPUERTO,LAS PALMAS,24,"20,1","0,0","16,0",07:40,"24,2",14:50,99,"3,9","8,3",Varias,"10,2","1019,8",Varias,"1016,5",03,71,92,02:08,34,05:39,Gran Canaria
2021-01-30,C649I,GRAN CANARIA AEROPUERTO,LAS PALMAS,24,"18,6","0,1","15,6",07:00,"21,6",13:00,99,"9,7","16,9",Varias,"9,3","1020,9",Varias,"1018,2",16,73,91,00:22,62,12:57,Gran Canaria
2021-01-31,C649I,GRAN CANARIA AEROPUERTO,LAS PALMAS,24,"19,8",Ip,"16,4",05:10,"23,2",15:00,02,"11,4","18,6",15:30,"9,8","1020,3",00,"1015,7",17,72,94,05:26,42,14:47,Gran Canaria
2021-02-01,C649I,GRAN CANARIA AEROPUERTO,LAS PALMAS,24,"21,4","0,0","17,9",23:59,"24,8",13:30,02,"9,4","16,9",02:28,"9,9","1017,4",11,"1013,6",16,54,82,21:30,37,13:06,Gran Canaria
