fecha,indicativo,nombre,provincia,altitud,tmed,prec,tmin,horatmin,tmax,horatmax,dir,velmedia,racha,horaracha,sol,presMax,horaPresMax,presMin,horaPresMin,hrMedia,hrMax,horaHrMax,hrMin,horaHrMin,isla
2021-01-01,C329B,"LA GOMERA, AEROPUERTO",STA. CRUZ DE TENERIFE,219,"17,4","0,0","15,3",06:50,"19,4",11:20,31,"2,2","12,5",00:50,"2,5","996,9",10,"993,8",16,58,69,21:20,50,Varias,La Gomera
2021-01-02,C329B,"LA GOMERA, AEROPUERTO",STA. CRUZ DE TENERIFE,219,"16,7","0,0","14,4",05:50,"19,0",10:00,12,"2,2","6,1",11:30,"1,6","994,7",00,"990,8",18,66,78,Varias,58,09:40,La Gomera
2021-01-03,C329B,"LA GOMERA, AEROPUERTO",STA. CRUZ DE TENERIFE,219,"16,6","0,3","15,2",05:10,"18,1",15:20,17,"1,7","6,1",15:50,"0,3","992,4",09,"989,0",16,75,84,11:40,68,00:00,La Gomera
2021-01-04,C329B,"LA GOMERA, AEROPUERTO",STA. CRUZ DE TENERIFE,219,"18,0","0,0","17,0",05:00,"19,0",Varias,24,"3,3","11,9",19:50,"0,0","990,1",00,"985,7",18,85,97,22:20,74,00:00,La Gomera
2021-01-05,C329B,"LA GOMERA, AEROPUERTO",STA. CRUZ DE TENERIFE,219,"19,4","8,4","17,6",07:40,"21,2",14:00,25,"5,3","13,9",14:40,"7,3","987,0",10,"983,7",15,81,94,Varias,73,15:50,La Gomera
2021-01-06,C329B,"LA GOMERA, AEROPUERTO",STA. CRUZ DE TENERIFE,219,"19,7","0,9","18,4",05:20,"21,0",16:10,24,"10,0","19,7",11:40,"2,5","985,0",00,"979,9",15,87,99,Varias,79,Varias,La Gomera
2021-01-07,C329B,"LA GOMERA, AEROPUERTO",STA. CRUZ DE TENERIFE,219,"19,4","0,8","17,8",23:59,"21,0",15:10,24,"9,7","19,2",16:10,"3,9","982,2",00,"978,8",15,90,96,Varias,80,23:50,La Gomera
2021-01-08,C329B,"LA GOMERA, AEROPUERTO",STA. CRUZ DE TENERIFE,219,"16,5","0,4","13,7",23:59,"19,3",12:20,28,"3,3","14,4",01:40,"7,0","991,8",24,"979,3",01,63,84,00:10,53,16:20,La Gomera
2021-01-09,C329B,"LA GOMERA, AEROPUERTO",STA. CRUZ DE TENERIFE,219,"14,7","2,0","12,3",08:00,"17,1",12:55,06,"5,0","15,6",13:00,"8,4","997,8",24,"991,1",00,58,75,08:30,50,16:40,La Gomera
2021-01-10,C329B,"LA GOMERA, AEROPUERTO",STA. CRUZ DE TENERIFE,219,"16,0","0,5","13,1",07:50,"19,0",12:30,03,"3,1","12,8",21:00,"8,7","998,8",11,"995,9",05,60,77,07:40,48,12:20,La Gomera
2021-01-11,C329B,"LA GOMERA, AEROPUERTO",STA. CRUZ DE TENERIFE,219,"16,2","0,1","13,6",07:50,"18,7",15:40,02,"3,3","12,8",15:20,"8,8","999,0",11,"996,1",15,54,74,07:50,41,15:20,La Gomera
2021-01-12,C329B,"LA GOMERA, AEROPUERTO",STA. CRUZ DE TENERIFE,219,"17,2","0,1","14,3",07:20,"20,0",14:20,33,"3,6","12,8",11:50,"3,6","1001,0",24,"997,0",05,51,62,Varias,43,14:40,La Gomera
2021-01-13,C329B,"LA GOMERA, AEROPUERTO",STA. CRUZ DE TENERIFE,219,"17,4","0,0","14,7",07:20,"20,1",14:10,06,"3,1","11,9",17:30,"8,5","1002,5",24,"999,6",02,58,69,02:00,50,14:10,La Gomera
2021-01-14,C329B,"LA GOMERA, AEROPUERTO",STA. CRUZ DE TENERIFE,219,"17,6","0,0","15,0",Varias,"20,3",13:00,06,"3,3","10,8",19:50,"5,5","1003,2",11,"1000,4",16,49,,,,,La Gomera
2021-01-15,C329B,"LA GOMERA, AEROPUERTO",STA. CRUZ DE TENERIFE,219,"16,9","0,0","14,2",03:10,"19,6",12:30,35,"4,2","10,8",07:00,"7,6","1002,2",11,"998,6",16,55,66,23:10,48,11:50,La Gomera
2021-01-16,C329B,"LA GOMERA, AEROPUERTO",STA. CRUZ DE TENERIFE,219,"16,8","0,0","13,6",05:40,"19,9",14:10,34,"3,9","10,8",07:00,"8,7","1000,5",00,"997,3",15,59,75,23:10,52,15:00,La Gomera
2021-01-17,C329B,"LA GOMERA, AEROPUERTO",STA. CRUZ DE TENERIFE,219,"17,8","0,0","13,2",08:00,"22,5",13:50,23,"2,8","9,7",14:50,"9,4","1000,9",11,"998,0",05,65,75,Varias,56,11:10,La Gomera
2021-01-18,C329B,"LA GOMERA, AEROPUERTO",STA. CRUZ DE TENERIFE,219,"16,6","0,0","13,3",05:50,"20,0",15:30,21,"3,1","8,3",15:40,"9,7","1000,6",Varias,"997,8",05,60,77,23:59,53,08:30,La Gomera
2021-01-19,C329B,"LA GOMERA, AEROPUERTO",STA. CRUZ DE TENERIFE,219,"16,4","0,0","13,3",06:20,"19,4",16:10,24,"2,8","8,3",17:40,"9,8","1000,6",00,"997,0",15,70,80,22:30,62,16:00,La Gomera
2021-01-20,C329B,"LA GOMERA, AEROPUERTO",STA. CRUZ DE TENERIFE,219,"15,8","0,0","12,7",08:00,"19,0",15:00,29,"1,9","6,1",03:20,"9,8","998,6",Varias,"996,4",05,72,81,Varias,64,Varias,La Gomera
2021-01-21,C329B,"LA GOMERA, AEROPUERTO",STA. CRUZ DE TENERIFE,219,"17,6","0,0","14,9",07:50,"20,3",14:00,20,"2,5","6,7",10:40,"9,3","1001,0",24,"997,4",01,81,91,23:50,72,Varias,La Gomera
2021-01-22,C329B,"LA GOMERA, AEROPUERTO",STA. CRUZ DE TENERIFE,219,"18,8","0,0","16,3",04:00,"21,2",14:50,23,"3,3","8,9",14:10,"8,4","1001,0",00,"998,9",16,78,91,Varias,70,13:10,La Gomera
2021-01-23,C329B,"LA GOMERA, AEROPUERTO",STA. CRUZ DE TENERIFE,219,"17,6","0,0","15,6",06:20,"19,6",14:20,21,"2,5","9,2",16:00,"2,4","1000,7",00,"996,3",15,81,88,Varias,75,15:20,La Gomera
2021-01-24,C329B,"LA GOMERA, AEROPUERTO",STA. CRUZ DE TENERIFE,219,"17,8","0,0","15,4",07:30,"20,2",14:10,23,"1,4","5,3",13:20,"8,6","998,1",00,"994,7",17,84,90,Varias,78,13:40,La Gomera
2021-01-25,C329B,"LA GOMERA, AEROPUERTO",STA. CRUZ DE TENERIFE,219,"18,2","0,0","15,6",06:30,"20,9",15:20,22,"2,8","5,6",12:10,"9,7","998,8",24,"995,2",05,82,93,08:00,75,17:00,La Gomera
2021-01-26,C329B,"LA GOMERA, AEROPUERTO",STA. CRUZ DE TENERIFE,219,"17,5","0,0","14,7",07:40,"20,3",13:00,26,"3,3","7,2",09:50,"8,6","998,8",00,"996,4",15,78,88,Varias,70,Varias,La Gomera
2021-01-27,C329B,"LA GOMERA, AEROPUERTO",STA. CRUZ DE TENERIFE,219,"18,0","0,0","14,6",06:10,"21,5",15:20,21,"1,9","5,3",14:00,"9,8","997,3",00,"994,4",05,71,87,20:10,38,23:50,La Gomera
2021-01-28,C329B,"LA GOMERA, AEROPUERTO",STA. CRUZ DE TENERIFE,219,"21,2","0,0","16,0",07:20,"26,4",13:40,25,"1,9","5,3",06:30,"9,4","997,4",24,"994,0",04,49,81,07:30,22,23:59,La Gomera
2021-01-29,C329B,"LA GOMERA, AEROPUERTO",STA. CRUZ DE TENERIFE,219,"22,5","0,0","18,6",02:30,"26,4",13:50,25,"0,3","7,8",11:10,"9,9","999,3",24,"995,8",05,40,88,11:10,17,05:00,La Gomera
2021-01-30,C329B,"LA GOMERA, AEROPUERTO",STA. CRUZ DE TENERIFE,219,"19,8","0,0","16,1",07:00,"23,4",13:10,23,"1,7","9,2",14:50,"9,7","999,7",13,"997,3",05,74,90,23:50,19,02:50,La Gomera
2021-01-31,C329B,"LA GOMERA, AEROPUERTO",STA. CRUZ DE TENERIFE,219,"18,6","0,0","15,9",05:00,"21,4",13:20,26,"3,3","8,3",07:00,"9,6","999,6",11,"995,1",19,81,91,05:40,72,13:30,La Gomera
2021-02-01,C329B,"LA GOMERA, AEROPUERTO",STA. CRUZ DE TENERIFE,219,"19,4","0,0","15,8",05:30,"23,1",16:00,25,"2,8","7,2",06:50,"9,0","997,6",00,"993,3",16,62,88,01:20,52,14:40,La Gomera
2021-02-02,C329B,"LA GOMERA, AEROPUERTO",STA. CRUZ DE TENERIFE,219,"18,9","0,0","16,4",23:10,"21,4",15:30,23,"3,6","10,8",13:30,"9,4","995,4",00,"992,4",15,76,88,21:00,62,00:20,La Gomera
2021-02-03,C329B,"LA GOMERA, AEROPUERTO",STA. CRUZ DE TENERIFE,219,"17,6","0,0","15,0",06:00,"20,1",14:00,23,"2,2","6,7",14:20,"2,6","994,5",00,"990,1",24,74,85,Varias,63,17:00,La Gomera
2021-02-04,C329B,"LA GOMERA, AEROPUERTO",STA. CRUZ DE TENERIFE,219,"17,0","3,8","14,4",23:59,"19,7",13:00,26,"4,7","15,0",14:00,"9,1","990,7",00,"984,3",18,62,88,07:00,42,13:00,La Gomera
2021-02-05,C329B,"LA GOMERA, AEROPUERTO",STA. CRUZ DE TENERIFE,219,"14,1","0,8","10,8",05:50,"17,4",15:10,25,"2,5","10,3",12:00,"7,7","992,0",24,"983,5",04,63,83,02:30,48,16:10,La Gomera
2021-02-06,C329B,"LA GOMERA, AEROPUERTO",STA. CRUZ DE TENERIFE,219,"16,5","0,8","13,0",00:10,"20,0",14:40,05,"1,9","11,9",07:10,"8,4","996,2",24,"990,9",01,61,73,Varias,46,12:20,La Gomera
2021-02-07,C329B,"LA GOMERA, AEROPUERTO",STA. CRUZ DE TENERIFE,219,"16,8","0,0","13,4",07:30,"20,1",13:20,03,"2,5","9,7",02:10,"8,9","997,7",10,"994,6",02,63,77,23:00,54,12:20,La Gomera
2021-02-08,C329B,"LA GOMERA, AEROPUERTO",STA. CRUZ DE TENERIFE,219,"17,0","0,0","14,8",02:40,"19,2",11:40,19,"2,5","6,1",18:00,"4,3","997,4",10,"994,3",15,73,79,Varias,66,11:40,La Gomera
2021-02-09,C329B,"LA GOMERA, AEROPUERTO",STA. CRUZ DE TENERIFE,219,"17,4","0,0","13,7",07:40,"21,2",15:20,23,"1,9","6,7",16:30,"10,0","996,7",11,"993,8",16,67,81,01:00,56,13:20,La Gomera
2021-02-10,C329B,"LA GOMERA, AEROPUERTO",STA. CRUZ DE TENERIFE,219,"17,7","0,0","14,7",06:50,"20,7",15:40,22,"2,8","6,1",17:10,"5,6","996,7",24,"994,0",16,75,84,06:20,65,11:00,La Gomera
2021-02-11,C329B,"LA GOMERA, AEROPUERTO",STA. CRUZ DE TENERIFE,219,"18,2","0,0","14,8",07:10,"21,5",17:30,23,"3,1","7,2",13:10,"9,9","997,7",24,"994,8",04,74,88,06:40,54,17:30,La Gomera
2021-02-12,C329B,"LA GOMERA, AEROPUERTO",STA. CRUZ DE TENERIFE,219,"19,3","0,0","15,8",06:50,"22,8",13:40,05,"2,5","9,2",14:00,"10,2","998,3",13,"996,1",05,65,81,07:00,46,13:00,La Gomera
2021-02-13,C329B,"LA GOMERA, AEROPUERTO",STA. CRUZ DE TENERIFE,219,"18,6","0,0","15,7",07:30,"21,5",14:10,01,"3,6","10,8",01:40,"10,2","997,8",11,"995,1",17,72,83,Varias,64,14:10,La Gomera
2021-02-14,C329B,"LA GOMERA, AEROPUERTO",STA. CRUZ DE TENERIFE,219,"18,4","0,0","15,1",07:40,"21,7",14:30,22,"3,1","8,3",16:20,"10,4","996,9",13,"993,8",17,76,89,Varias,67,14:30,La Gomera
2021-02-15,C329B,"LA GOMERA, AEROPUERTO",STA. CRUZ DE TENERIFE,219,"20,1","0,0","14,4",05:30,"25,8",13:10,07,"5,3","15,6",13:10,"9,7","997,3",24,"993,5",04,40,89,06:20,17,04:30,La Gomera
2021-02-16,C329B,"LA GOMERA, AEROPUERTO",STA. CRUZ DE TENERIFE,219,"20,6","0,0","17,5",20:40,"23,7",01:00,08,"4,7","11,9",03:30,"6,2","998,7",11,"994,3",18,46,58,19:10,17,01:00,La Gomera
2021-02-17,C329B,"LA GOMERA, AEROPUERTO",STA. CRUZ DE TENERIFE,219,"18,5","0,0","16,0",22:30,"21,0",13:30,08,"3,9","9,7",06:20,"8,2","995,6",00,"992,2",18,50,64,22:20,17,01:00,La Gomera
2021-02-18,C329B,"LA GOMERA, AEROPUERTO",STA. CRUZ DE TENERIFE,219,"18,6","0,0","14,6",07:40,"22,6",13:30,24,"2,8","5,6",12:50,"8,6","994,5",24,"991,9",06,46,65,08:10,29,13:20,La Gomera
2021-02-19,C329B,"LA GOMERA, AEROPUERTO",STA. CRUZ DE TENERIFE,219,"18,1","0,0","14,2",05:50,"22,0",15:30,23,"3,3","10,3",16:30,"8,6","994,9",10,"991,7",18,52,71,04:00,22,15:40,La Gomera
2021-02-20,C329B,"LA GOMERA, AEROPUERTO",STA. CRUZ DE TENERIFE,219,"17,4","1,7","14,8",02:00,"19,9",12:00,23,"7,5","18,6",16:30,"3,0","992,4",00,"987,2",17,79,96,17:10,29,00:10,La Gomera
2021-02-21,C329B,"LA GOMERA, AEROPUERTO",STA. CRUZ DE TENERIFE,219,"17,8","0,0","15,0",07:10,"20,7",13:10,33,"2,5","12,8",01:10,"8,6","996,0",24,"989,0",01,64,77,05:30,52,14:50,La Gomera
2021-02-22,C329B,"LA GOMERA, AEROPUERTO",STA. CRUZ DE TENERIFE,219,"19,0","0,0","14,7",06:30,"23,2",12:50,11,"1,9","5,3",13:40,"8,2","998,5",24,"994,4",04,72,80,23:00,56,12:50,La Gomera
2021-02-23,C329B,"LA GOMERA, AEROPUERTO",STA. CRUZ DE TENERIFE,219,"18,6","0,0","14,9",05:20,"22,2",14:30,22,"3,6","9,2",12:40,"10,5","999,1",11,"996,5",04,75,85,Varias,60,08:50,La Gomera
2021-02-24,C329B,"LA GOMERA, AEROPUERTO",STA. CRUZ DE TENERIFE,219,"18,8","0,0","15,1",06:50,"22,5",12:50,34,"2,8","16,9",23:20,"10,1","999,9",13,"996,3",05,58,85,00:10,39,17:50,La Gomera
2021-02-25,C329B,"LA GOMERA, AEROPUERTO",STA. CRUZ DE TENERIFE,219,"19,3","0,0","15,8",23:59,"22,8",13:50,33,"6,7","20,0",07:10,"10,5","1001,6",24,"997,0",03,62,74,18:10,45,18:30,La Gomera
2021-02-26,C329B,"LA GOMERA, AEROPUERTO",STA. CRUZ DE TENERIFE,219,"17,6","0,0","14,6",07:00,"20,7",14:00,06,"6,7","18,6",19:40,"10,5","1001,6",00,"997,7",16,50,60,04:10,37,15:30,La Gomera
2021-02-27,C329B,"LA GOMERA, AEROPUERTO",STA. CRUZ DE TENERIFE,219,"17,2","0,0","13,7",07:50,"20,7",14:50,01,"3,9","14,4",03:40,"10,4","999,4",00,"992,4",24,47,59,Varias,34,14:50,La Gomera
2021-02-28,C329B,"LA GOMERA, AEROPUERTO",STA. CRUZ DE TENERIFE,219,"18,1","0,0","14,5",04:40,"21,7",14:20,02,"2,8","13,3",01:50,"10,7","993,0",00,"989,1",15,51,66,Varias,39,13:30,La Gomera
2021-03-01,C329B,"LA GOMERA, AEROPUERTO",STA. CRUZ DE TENERIFE,219,"19,2","0,0","15,6",05:20,"22,7",14:20,01,"3,6","12,8",17:40,"10,3","994,7",24,"989,9",04,45,61,01:00,31,Varias,La Gomera
2021-03-02,C329B,"LA GOMERA, AEROPUERTO",STA. CRUZ DE TENERIFE,219,"18,2","0,0","14,4",06:20,"21,9",11:40,35,"3,6","10,3",00:10,"5,5","997,2",24,"993,8",04,59,75,Varias,45,Varias,La Gomera
2021-03-03,C329B,"LA GOMERA, AEROPUERTO",STA. CRUZ DE TENERIFE,219,"18,0","0,0","14,5",04:30,"21,4",13:40,24,"3,3","7,2",13:50,"10,1","997,3",10,"994,2",04,66,78,04:30,54,13:30,La Gomera
2021-03-04,C329B,"LA GOMERA, AEROPUERTO",STA. CRUZ DE TENERIFE,219,"17,8","0,0","14,4",07:10,"21,2",15:30,23,"2,2","6,1",10:40,"10,6","996,6",00,"993,7",18,67,78,07:30,57,14:20,La Gomera
2021-03-05,C329B,"LA GOMERA, AEROPUERTO",STA. CRUZ DE TENERIFE,219,"18,8","0,0","15,5",06:40,"22,0",14:00,34,"2,2","12,8",20:00,"10,8","995,6",00,"991,3",19,66,85,06:20,41,20:00,La Gomera
2021-03-06,C329B,"LA GOMERA, AEROPUERTO",STA. CRUZ DE TENERIFE,219,"18,2","0,0","15,4",06:00,"21,0",14:00,34,"5,3","15,6",09:20,"8,2","997,2",24,"992,4",06,59,69,Varias,48,11:50,La Gomera
2021-03-07,C329B,"LA GOMERA, AEROPUERTO",STA. CRUZ DE TENERIFE,219,"19,5","0,0","16,1",07:50,"22,9",14:40,35,"4,4","14,4",13:20,"9,5","998,9",10,"995,4",18,53,65,Varias,40,Varias,La Gomera
2021-03-08,C329B,"LA GOMERA, AEROPUERTO",STA. CRUZ DE TENERIFE,219,"19,2","0,0","16,2",07:00,"22,3",15:00,06,"3,1","11,4",21:40,"8,0","996,9",00,"992,3",17,65,81,09:20,56,Varias,La Gomera
2021-03-09,C329B,"LA GOMERA, AEROPUERTO",STA. CRUZ DE TENERIFE,219,"18,4","0,0","15,3",04:30,"21,4",14:30,03,"6,7","22,8",09:30,"10,4","996,5",24,"992,6",06,51,76,04:20,39,18:10,La Gomera
2021-03-10,C329B,"LA GOMERA, AEROPUERTO",STA. CRUZ DE TENERIFE,219,"18,0","0,0","15,0",07:10,"21,1",13:50,05,"4,2","16,1",05:10,"10,3","997,5",24,"993,9",05,55,76,04:10,39,18:10,La Gomera
2021-03-11,C329B,"LA GOMERA, AEROPUERTO",STA. CRUZ DE TENERIFE,219,"17,9","0,0","14,5",06:30,"21,3",13:20,34,"3,3","11,4",00:10,"10,1","998,6",13,"995,7",03,65,77,06:30,25,23:50,La Gomera
2021-03-12,C329B,"LA GOMERA, AEROPUERTO",STA. CRUZ DE TENERIFE,219,"19,7","0,0","16,9",03:30,"22,5",13:50,25,"2,5","8,3",16:10,"6,9","998,1",11,"994,4",18,58,88,Varias,23,00:40,La Gomera
2021-03-13,C329B,"LA GOMERA, AEROPUERTO",STA. CRUZ DE TENERIFE,219,"17,8","0,0","15,4",04:50,"20,3",14:10,23,"3,1","9,2",17:30,"3,4","996,2",Varias,"993,6",16,73,88,Varias,61,11:00,La Gomera
2021-03-14,C329B,"LA GOMERA, AEROPUERTO",STA. CRUZ DE TENERIFE,219,"18,0","0,0","14,7",07:00,"21,4",13:30,24,"3,1","10,3",12:20,"6,1","995,8",00,"992,8",06,71,80,23:50,61,13:30,La Gomera
2021-03-15,C329B,"LA GOMERA, AEROPUERTO",STA. CRUZ DE TENERIFE,219,"18,4","0,0","15,0",05:40,"21,9",15:50,21,"2,5","8,9",11:40,"9,9","994,0",Varias,"991,3",17,65,83,01:00,58,14:00,La Gomera
2021-03-16,C329B,"LA GOMERA, AEROPUERTO",STA. CRUZ DE TENERIFE,219,"19,3","0,0","14,8",07:20,"23,8",12:50,23,"2,2","11,4",16:00,"10,5","992,7",00,"989,8",17,71,81,23:59,57,13:30,La Gomera
2021-03-17,C329B,"LA GOMERA, AEROPUERTO",STA. CRUZ DE TENERIFE,219,"18,3","0,0","15,0",03:50,"21,6",14:20,22,"2,5","11,4",15:50,"10,7","991,7",11,"989,2",05,70,83,01:40,58,13:20,La Gomera
2021-03-18,C329B,"LA GOMERA, AEROPUERTO",STA. CRUZ DE TENERIFE,219,"18,3","0,0","15,0",05:00,"21,6",14:20,36,"3,9","12,5",22:40,"10,7","992,0",24,"989,4",03,67,81,07:30,44,20:20,La Gomera
