fecha,indicativo,nombre,provincia,altitud,tmed,prec,tmin,horatmin,tmax,horatmax,dir,velmedia,racha,horaracha,sol,presMax,horaPresMax,presMin,horaPresMin,hrMedia,hrMax,horaHrMax,hrMin,horaHrMin,isla
2021-01-01,C139E,LA PALMA AEROPUERTO,STA. CRUZ DE TENERIFE,33,"17,6","0,2","15,6",04:40,"19,5",11:53,26,"3,9","9,7",18:34,"0,1","1018,4",Varias,"1015,7",16,71,83,00:03,57,10:42,La Palma
2021-01-02,C139E,LA PALMA AEROPUERTO,STA. CRUZ DE TENERIFE,33,"16,9","0,0","15,3",08:31,"18,5",12:22,30,"3,3","10,3",11:05,"0,1","1015,9",00,"1011,8",19,69,77,09:19,64,15:27,La Palma
2021-01-03,C139E,LA PALMA AEROPUERTO,STA. CRUZ DE TENERIFE,33,"17,9","4,5","16,0",08:46,"19,8",15:30,19,"3,1","12,8",23:13,"0,2","1013,1",Varias,"1008,5",16,71,90,Varias,63,15:55,La Palma
2021-01-04,C139E,LA PALMA AEROPUERTO,STA. CRUZ DE TENERIFE,33,"20,8","0,6","17,7",00:37,"23,9",14:38,14,"8,1","24,2",13:59,"2,0","1009,6",00,"1001,5",15,79,88,Varias,51,14:44,La Palma
2021-01-05,C139E,LA PALMA AEROPUERTO,STA. CRUZ DE TENERIFE,33,"20,9","3,0","18,2",05:41,"23,6",11:12,26,"2,8","11,7",02:54,"4,1","1006,7",Varias,"1003,0",16,70,83,Varias,52,07:59,La Palma
2021-01-06,C139E,LA PALMA AEROPUERTO,STA. CRUZ DE TENERIFE,33,"21,4","13,0","18,6",00:43,"24,3",12:56,25,"9,4","30,0",10:12,"5,0","1003,2",00,"994,6",09,59,85,00:45,47,23:54,La Palma
2021-01-07,C139E,LA PALMA AEROPUERTO,STA. CRUZ DE TENERIFE,33,"20,2","18,5","17,3",16:21,"23,0",11:31,25,"12,2","25,8",14:36,"3,7","1000,1",00,"993,9",15,69,86,06:36,51,00:02,La Palma
2021-01-08,C139E,LA PALMA AEROPUERTO,STA. CRUZ DE TENERIFE,33,"16,7","0,3","13,2",23:11,"20,2",00:06,36,"7,5","20,6",17:27,"5,1","1012,7",24,"998,4",00,66,84,12:01,53,02:12,La Palma
2021-01-09,C139E,LA PALMA AEROPUERTO,STA. CRUZ DE TENERIFE,33,"15,1","1,3","12,4",03:32,"17,8",14:10,02,"7,5","20,6",14:17,"7,0","1018,8",Varias,"1012,6",00,63,81,06:50,44,13:58,La Palma
2021-01-10,C139E,LA PALMA AEROPUERTO,STA. CRUZ DE TENERIFE,33,"16,4","0,5","13,5",07:59,"19,3",11:01,99,"9,7","18,9",Varias,"7,5","1020,1",Varias,"1016,7",16,63,77,09:23,48,10:46,La Palma
2021-01-11,C139E,LA PALMA AEROPUERTO,STA. CRUZ DE TENERIFE,33,"16,8","0,7","14,2",23:03,"19,3",12:31,01,"6,9","16,4",01:38,"6,1","1021,3",Varias,"1018,1",15,58,83,01:19,48,10:04,La Palma
2021-01-12,C139E,LA PALMA AEROPUERTO,STA. CRUZ DE TENERIFE,33,"16,0","2,5","13,9",08:06,"18,0",16:55,99,"5,3","13,3",Varias,"0,2","1022,8",Varias,"1019,1",05,64,86,09:53,56,05:50,La Palma
2021-01-13,C139E,LA PALMA AEROPUERTO,STA. CRUZ DE TENERIFE,33,"17,0","0,0","14,8",07:58,"19,3",11:58,99,"6,7","11,4",Varias,"3,6","1024,6",Varias,"1021,5",05,61,74,01:41,53,21:51,La Palma
2021-01-14,C139E,LA PALMA AEROPUERTO,STA. CRUZ DE TENERIFE,33,"17,8","1,0","15,0",06:05,"20,5",13:57,99,"5,0","11,7",Varias,"3,3","1025,3",Varias,"1022,4",15,60,72,15:41,47,13:59,La Palma
2021-01-15,C139E,LA PALMA AEROPUERTO,STA. CRUZ DE TENERIFE,33,"17,0","0,0","15,6",03:02,"18,4",Varias,04,"6,1","12,5",10:51,"0,4","1024,5",Varias,"1021,3",15,61,81,Varias,49,16:44,La Palma
2021-01-16,C139E,LA PALMA AEROPUERTO,STA. CRUZ DE TENERIFE,33,"18,5","0,0","16,5",Varias,"20,5",11:48,33,"5,3","11,7",11:38,"3,5","1022,5",Varias,"1019,8",16,62,76,16:45,46,11:29,La Palma
2021-01-17,C139E,LA PALMA AEROPUERTO,STA. CRUZ DE TENERIFE,33,"18,8","0,0","16,9",02:00,"20,6",13:27,29,"4,2","10,8",19:40,"1,8","1022,6",11,"1019,7",05,61,69,20:52,48,13:28,La Palma
2021-01-18,C139E,LA PALMA AEROPUERTO,STA. CRUZ DE TENERIFE,33,"17,8","0,0","16,2",05:35,"19,3",15:29,27,"4,2","7,8",Varias,"0,6","1022,1",Varias,"1019,6",05,64,72,21:19,58,00:30,La Palma
2021-01-19,C139E,LA PALMA AEROPUERTO,STA. CRUZ DE TENERIFE,33,"17,5","0,0","15,2",08:23,"19,8",12:05,26,"1,9","7,2",05:20,"3,3","1021,6",00,"1018,0",18,63,74,19:18,58,10:10,La Palma
2021-01-20,C139E,LA PALMA AEROPUERTO,STA. CRUZ DE TENERIFE,33,"17,8","0,0","15,2",00:03,"20,4",11:38,99,"2,5","6,1",Varias,"9,4","1019,8",Varias,"1017,0",16,64,80,Varias,56,12:19,La Palma
2021-01-21,C139E,LA PALMA AEROPUERTO,STA. CRUZ DE TENERIFE,33,"18,9","0,0","15,9",07:55,"21,9",14:51,01,"2,5","10,3",23:10,"7,6","1021,9",Varias,"1018,7",05,81,87,Varias,69,11:26,La Palma
2021-01-22,C139E,LA PALMA AEROPUERTO,STA. CRUZ DE TENERIFE,33,"19,4","1,4","17,4",23:47,"21,3",15:01,99,"4,2","8,3",Varias,"2,6","1022,7",Varias,"1020,4",16,77,94,23:30,70,10:22,La Palma
2021-01-23,C139E,LA PALMA AEROPUERTO,STA. CRUZ DE TENERIFE,33,"18,9","0,0","17,4",Varias,"20,4",12:35,03,"3,1","7,2",Varias,"2,5","1022,2",00,"1018,0",16,81,94,Varias,73,22:56,La Palma
2021-01-24,C139E,LA PALMA AEROPUERTO,STA. CRUZ DE TENERIFE,33,"18,8","0,0","16,0",08:21,"21,5",12:33,03,"3,6","7,2",17:59,"6,2","1019,2",00,"1015,9",16,78,86,08:51,70,14:24,La Palma
2021-01-25,C139E,LA PALMA AEROPUERTO,STA. CRUZ DE TENERIFE,33,"18,0","0,0","15,5",03:41,"20,5",13:36,02,"3,1","7,8",21:58,"0,7","1020,3",Varias,"1016,8",04,76,87,Varias,67,15:54,La Palma
