fecha,indicativo,nombre,provincia,altitud,tmed,prec,tmin,horatmin,tmax,horatmax,dir,velmedia,racha,horaracha,sol,presMax,horaPresMax,presMin,horaPresMin,hrMedia,hrMax,horaHrMax,hrMin,horaHrMin,isla
2021-01-01,C029O,LANZAROTE AEROPUERTO,LAS PALMAS,14,"17,9","0,0","14,5",23:22,"21,3",14:16,35,"6,1","14,4",14:05,"2,8","1020,2",Varias,"1017,5",14,59,74,21:01,43,14:04,Lanzarote
2021-01-02,C029O,LANZAROTE AEROPUERTO,LAS PALMAS,14,"17,6","0,0","14,2",00:25,"20,9",13:10,02,"5,3","10,8",17:05,"2,3","1018,2",00,"1014,9",15,57,80,04:40,44,13:11,Lanzarote
2021-01-03,C029O,LANZAROTE AEROPUERTO,LAS PALMAS,14,"16,8","0,0","14,1",23:50,"19,5",11:06,99,"3,9","8,3",Varias,"1,3","1016,6",Varias,"1013,4",16,61,74,23:30,48,11:07,Lanzarote
2021-01-04,C029O,LANZAROTE AEROPUERTO,LAS PALMAS,14,"16,0","0,0","12,9",02:01,"19,0",14:28,19,"4,4","9,2",Varias,"1,0","1014,4",00,"1009,4",24,70,82,Varias,56,10:48,Lanzarote
2021-01-05,C029O,LANZAROTE AEROPUERTO,LAS PALMAS,14,"20,2","0,1","15,9",23:59,"24,5",13:21,99,"5,6","11,7",Varias,"6,9","1009,6",Varias,"1006,6",15,75,96,Varias,56,13:25,Lanzarote
2021-01-06,C029O,LANZAROTE AEROPUERTO,LAS PALMAS,14,"19,6","0,9","15,7",00:04,"23,6",13:07,23,"8,1","16,4",12:36,"0,9","1007,9",00,"1002,8",16,85,98,Varias,71,13:08,Lanzarote
2021-01-07,C029O,LANZAROTE AEROPUERTO,LAS PALMAS,14,"19,4","33,3","16,5",13:30,"22,4",11:12,23,"8,1","18,1",12:00,"3,8","1005,4",00,"1002,1",24,91,98,14:06,73,11:12,Lanzarote
2021-01-08,C029O,LANZAROTE AEROPUERTO,LAS PALMAS,14,"16,9","4,8","13,5",23:52,"20,3",00:43,99,"7,2","16,9",Varias,"7,4","1013,0",Varias,"1000,2",05,78,95,14:28,66,17:10,Lanzarote
2021-01-09,C029O,LANZAROTE AEROPUERTO,LAS PALMAS,14,"14,2","4,3","11,1",11:33,"17,4",13:03,34,"4,2","16,9",11:29,"6,4","1018,9",Varias,"1012,8",00,72,100,Varias,57,15:51,Lanzarote
2021-01-10,C029O,LANZAROTE AEROPUERTO,LAS PALMAS,14,"15,5","1,6","12,5",05:48,"18,5",15:08,32,"7,5","18,1",14:10,"8,1","1020,4",Varias,"1017,0",06,82,97,Varias,58,16:14,Lanzarote
2021-01-11,C029O,LANZAROTE AEROPUERTO,LAS PALMAS,14,"15,2","1,2","11,8",00:26,"18,7",13:49,99,"6,4","13,9",Varias,"5,9","1022,2",Varias,"1018,9",06,71,96,09:17,57,00:07,Lanzarote
2021-01-12,C029O,LANZAROTE AEROPUERTO,LAS PALMAS,14,"15,6","0,4","12,0",21:45,"19,2",13:21,06,"4,7","8,9",14:25,"3,6","1024,3",Varias,"1021,1",05,69,85,Varias,53,13:42,Lanzarote
2021-01-13,C029O,LANZAROTE AEROPUERTO,LAS PALMAS,14,"15,8","0,0","11,2",05:55,"20,5",13:26,01,"4,2","8,9",02:20,"8,9","1026,6",Varias,"1023,5",05,62,85,06:01,44,17:21,Lanzarote
2021-01-14,C029O,LANZAROTE AEROPUERTO,LAS PALMAS,14,"16,0","0,0","12,2",06:15,"19,8",14:01,99,"6,1","10,8",Varias,"6,3","1027,9",Varias,"1024,8",15,65,85,04:38,46,14:24,Lanzarote
2021-01-15,C029O,LANZAROTE AEROPUERTO,LAS PALMAS,14,"17,6","0,0","15,1",07:38,"20,1",14:11,99,"6,7","12,5",Varias,"1,8","1025,8",Varias,"1023,1",15,59,68,20:43,47,14:11,Lanzarote
