fecha,isla,tmed,prec,tmin,tmax,dir,velmedia,racha,sol,presMax,presMin,hrMedia,hrMax,hrMin
2021-01-01,TENERIFE,18.1,0.05,16.2,20.0,6.0,2.2,7.5,1.5,1019.1,1016.2,59.0,76.0,47.0
2021-01-01,EL HIERRO,19.6,0.0,18.5,20.8,99.0,5.3,11.4,2.5,1019.8,1016.5,59.0,73.0,49.0
2021-01-01,LANZAROTE,17.9,0.0,14.5,21.3,35.0,6.1,14.4,2.8,1020.2,1017.5,59.0,74.0,43.0
2021-01-01,GRAN CANARIA,17.6,0.1,15.0,20.3,99.0,8.3,13.3,1.9,1017.4,1014.9,60.0,89.0,46.0
2021-01-01,LA GOMERA,17.4,0.0,15.3,19.4,31.0,2.2,12.5,2.5,996.9,993.8,58.0,69.0,50.0
2021-01-01,FUERTEVENTURA,18.2,0.0,15.9,20.6,1.0,7.8,13.9,2.7,1018.8,1016.2,58.0,71.0,48.0
2021-01-01,LA PALMA,17.6,0.2,15.6,19.5,26.0,3.9,9.7,0.1,1018.4,1015.7,71.0,83.0,57.0
2021-01-02,EL HIERRO,18.5,0.1,16.9,20.1,5.0,3.1,11.4,1.9,1016.8,1013.2,69.0,81.0,59.0
2021-01-02,FUERTEVENTURA,18.0,0.0,15.6,20.4,2.0,6.4,11.4,2.0,1016.9,1013.6,59.0,72.0,46.0
2021-01-02,LA GOMERA,16.7,0.0,14.4,19.0,12.0,2.2,6.1,1.6,994.7,990.8,66.0,78.0,58.0
2021-01-02,LA PALMA,16.9,0.0,15.3,18.5,30.0,3.3,10.3,0.1,1015.9,1011.8,69.0,77.0,64.0
2021-01-02,GRAN CANARIA,17.4,0.0,15.0,19.7,99.0,5.3,9.2,2.4,1015.4,1011.7,63.0,88.0,48.0
2021-01-02,LANZAROTE,17.6,0.0,14.2,20.9,2.0,5.3,10.8,2.3,1018.2,1014.9,57.0,80.0,44.0
2021-01-02,TENERIFE,17.8,0.0,15.8,19.8,8.0,3.1,7.2,2.7,1016.9,1013.0,65.0,76.0,50.0
2021-01-03,TENERIFE,18.2,0.05,16.6,19.8,10.0,1.1,6.1,0.3,1014.8,1010.9,66.0,76.0,62.0
2021-01-03,EL HIERRO,19.0,0.7,17.1,20.9,19.0,4.2,12.8,1.4,1014.6,1010.3,66.0,80.0,59.0
2021-01-03,LANZAROTE,16.8,0.0,14.1,19.5,99.0,3.9,8.3,1.3,1016.6,1013.4,61.0,74.0,48.0
2021-01-03,LA PALMA,17.9,4.5,16.0,19.8,19.0,3.1,12.8,0.2,1013.1,1008.5,71.0,90.0,63.0
2021-01-03,GRAN CANARIA,17.6,0.0,15.9,19.3,3.0,2.8,6.7,0.3,1013.8,1009.9,63.0,70.0,56.0
2021-01-03,FUERTEVENTURA,18.1,0.0,16.1,20.1,99.0,4.7,9.7,2.8,1015.3,1012.0,61.0,70.0,49.0
2021-01-03,LA GOMERA,16.6,0.3,15.2,18.1,17.0,1.7,6.1,0.3,992.4,989.0,75.0,84.0,68.0
2021-01-04,LA PALMA,20.8,0.6,17.7,23.9,14.0,8.1,24.2,2.0,1009.6,1001.5,79.0,88.0,51.0
